DATE,Y10_FIT,RNY10,TP10,QUALITY
20210920,1.2496,2.5476,-1.298,ACM_K3_380m
20210921,1.216,2.5417,-1.3256,ACM_K3_380m
20210922,1.2037,2.5405,-1.3369,ACM_K3_380m
20210923,1.2121,2.545,-1.3328,ACM_K3_380m
20210924,1.3564,2.567,-1.2106,ACM_K3_380m
20210927,1.3606,2.5685,-1.2079,ACM_K3_380m
20210928,1.4304,2.581,-1.1506,ACM_K3_380m
20210929,1.434,2.5802,-1.1462,ACM_K3_380m
20210930,1.4388,2.583,-1.1443,ACM_K3_380m
20211001,1.4411,2.5878,-1.1467,ACM_K3_380m
20211005,1.463,2.5965,-1.1335,ACM_K3_380m
20211006,1.5543,2.6136,-1.0593,ACM_K3_380m
20211007,1.5381,2.6183,-1.0802,ACM_K3_380m
20211008,1.5998,2.6355,-1.0357,ACM_K3_380m
20211011,1.6733,2.6739,-1.0006,ACM_K3_380m
20211012,1.6975,2.6657,-0.9682,ACM_K3_380m
20211013,1.6629,2.6611,-0.9983,ACM_K3_380m
20211014,1.6056,2.6566,-1.051,ACM_K3_380m
20211015,1.634,2.6649,-1.0309,ACM_K3_380m
20211018,1.7505,2.7183,-0.9679,ACM_K3_380m
20211019,1.7327,2.7173,-0.9847,ACM_K3_380m
20211020,1.8095,2.7206,-0.9111,ACM_K3_380m
20211021,1.7828,2.7111,-0.9283,ACM_K3_380m
20211022,1.7993,2.713,-0.9138,ACM_K3_380m
20211025,1.7875,2.7166,-0.9291,ACM_K3_380m
20211026,1.8117,2.7264,-0.9147,ACM_K3_380m
20211027,1.8405,2.7711,-0.9306,ACM_K3_380m
20211028,1.8691,2.8447,-0.9756,ACM_K3_380m
20211029,2.0888,2.9077,-0.8189,ACM_K3_380m
20211101,1.8871,2.8426,-0.9555,ACM_K3_380m
20211102,1.8705,2.8341,-0.9636,ACM_K3_380m
20211103,1.8393,2.8179,-0.9786,ACM_K3_380m
20211104,1.8317,2.8321,-1.0003,ACM_K3_380m
20211105,1.8105,2.8168,-1.0063,ACM_K3_380m
20211108,1.7492,2.7952,-1.046,ACM_K3_380m
20211109,1.7844,2.802,-1.0176,ACM_K3_380m
20211110,1.7421,2.8044,-1.0622,ACM_K3_380m
20211111,1.8272,2.8498,-1.0226,ACM_K3_380m
20211112,1.8171,2.8543,-1.0373,ACM_K3_380m
20211115,1.7862,2.8343,-1.0481,ACM_K3_380m
20211116,1.8516,2.8554,-1.0039,ACM_K3_380m
20211117,1.8715,2.8461,-0.9745,ACM_K3_380m
20211118,1.809,2.8334,-1.0244,ACM_K3_380m
20211119,1.8247,2.8334,-1.0087,ACM_K3_380m
20211122,1.8078,2.8348,-1.027,ACM_K3_380m
20211123,1.8841,2.8567,-0.9726,ACM_K3_380m
20211124,1.8768,2.8452,-0.9684,ACM_K3_380m
20211125,1.8942,2.8584,-0.9643,ACM_K3_380m
20211126,1.7563,2.8199,-1.0635,ACM_K3_380m
20211129,1.7609,2.8155,-1.0546,ACM_K3_380m
20211130,1.706,2.8012,-1.0952,ACM_K3_380m
20211201,1.7486,2.8199,-1.0713,ACM_K3_380m
20211202,1.7042,2.8176,-1.1134,ACM_K3_380m
20211203,1.637,2.8067,-1.1698,ACM_K3_380m
20211206,1.6068,2.7963,-1.1895,ACM_K3_380m
20211207,1.6817,2.8257,-1.144,ACM_K3_380m
20211208,1.6582,2.8269,-1.1687,ACM_K3_380m
20211209,1.7097,2.8241,-1.1144,ACM_K3_380m
20211210,1.6694,2.8149,-1.1455,ACM_K3_380m
20211213,1.6358,2.805,-1.1692,ACM_K3_380m
20211214,1.5753,2.7907,-1.2154,ACM_K3_380m
20211215,1.5987,2.8055,-1.2069,ACM_K3_380m
20211216,1.6116,2.8264,-1.2148,ACM_K3_380m
20211217,1.6284,2.8262,-1.1978,ACM_K3_380m
20211220,1.5823,2.8117,-1.2294,ACM_K3_380m
20211221,1.639,2.8164,-1.1774,ACM_K3_380m
20211222,1.6156,2.7924,-1.1769,ACM_K3_380m
20211223,1.6222,2.7933,-1.1711,ACM_K3_380m
20211224,1.6111,2.7951,-1.184,ACM_K3_380m
20211229,1.5615,2.7784,-1.2169,ACM_K3_380m
20211230,1.6579,2.8002,-1.1423,ACM_K3_380m
20211231,1.694,2.8116,-1.1176,ACM_K3_380m
20220104,1.7603,2.8358,-1.0755,ACM_K3_380m
20220105,1.7941,2.8412,-1.0471,ACM_K3_380m
20220106,1.8736,2.8658,-0.9923,ACM_K3_380m
20220107,1.8606,2.8588,-0.9982,ACM_K3_380m
20220110,1.9248,2.8681,-0.9433,ACM_K3_380m
20220111,1.9012,2.8627,-0.9615,ACM_K3_380m
20220112,1.8563,2.8533,-0.9971,ACM_K3_380m
20220113,1.8668,2.8615,-0.9948,ACM_K3_380m
20220114,1.8617,2.8719,-1.0103,ACM_K3_380m
20220117,1.927,2.8975,-0.9706,ACM_K3_380m
20220118,1.9566,2.9132,-0.9566,ACM_K3_380m
20220119,2.0073,2.9306,-0.9233,ACM_K3_380m
20220120,2.0079,2.9433,-0.9354,ACM_K3_380m
20220121,1.9305,2.9152,-0.9846,ACM_K3_380m
20220124,1.95,2.9282,-0.9783,ACM_K3_380m
20220125,1.9619,2.9461,-0.9842,ACM_K3_380m
20220127,2.0416,2.9769,-0.9353,ACM_K3_380m
20220128,1.9576,2.9547,-0.9971,ACM_K3_380m
20220131,1.9036,2.918,-1.0144,ACM_K3_380m
20220201,1.9136,2.9269,-1.0134,ACM_K3_380m
20220202,1.925,2.9289,-1.0039,ACM_K3_380m
20220203,1.8832,2.9179,-1.0347,ACM_K3_380m
20220204,1.9737,2.9507,-0.977,ACM_K3_380m
20220207,2.0156,2.9808,-0.9653,ACM_K3_380m
20220208,2.1392,3.0159,-0.8767,ACM_K3_380m
20220209,2.1253,3.0145,-0.8892,ACM_K3_380m
20220210,2.1262,3.0098,-0.8835,ACM_K3_380m
20220211,2.2363,3.0574,-0.8211,ACM_K3_380m
20220214,2.1595,3.037,-0.8775,ACM_K3_380m
20220215,2.212,3.0601,-0.8481,ACM_K3_380m
20220216,2.2539,3.0698,-0.8158,ACM_K3_380m
20220217,2.2302,3.0551,-0.8249,ACM_K3_380m
20220218,2.2699,3.0627,-0.7927,ACM_K3_380m
20220221,2.2415,3.0564,-0.8149,ACM_K3_380m
20220222,2.2246,3.0572,-0.8326,ACM_K3_380m
20220223,2.298,3.0903,-0.7923,ACM_K3_380m
20220224,2.1855,3.0512,-0.8657,ACM_K3_380m
20220225,2.2607,3.0734,-0.8127,ACM_K3_380m
20220228,2.1615,3.026,-0.8645,ACM_K3_380m
20220301,2.2096,3.0281,-0.8185,ACM_K3_380m
20220302,2.0945,2.9882,-0.8937,ACM_K3_380m
20220303,2.1853,3.0228,-0.8374,ACM_K3_380m
20220304,2.1725,3.0282,-0.8556,ACM_K3_380m
20220307,2.1569,3.0262,-0.8692,ACM_K3_380m
20220308,2.2545,3.0547,-0.8002,ACM_K3_380m
20220309,2.3426,3.0891,-0.7465,ACM_K3_380m
20220310,2.3945,3.107,-0.7124,ACM_K3_380m
20220311,2.4273,3.1227,-0.6954,ACM_K3_380m
20220314,2.4824,3.1362,-0.6538,ACM_K3_380m
20220315,2.541,3.1443,-0.6033,ACM_K3_380m
20220316,2.5151,3.1296,-0.6145,ACM_K3_380m
20220317,2.5322,3.1433,-0.6112,ACM_K3_380m
20220318,2.5999,3.167,-0.5671,ACM_K3_380m
20220321,2.6069,3.1746,-0.5677,ACM_K3_380m
20220322,2.7527,3.2421,-0.4894,ACM_K3_380m
20220323,2.8084,3.2577,-0.4492,ACM_K3_380m
20220324,2.8073,3.2494,-0.4421,ACM_K3_380m
20220325,2.8138,3.2702,-0.4563,ACM_K3_380m
20220328,2.945,3.3441,-0.3991,ACM_K3_380m
20220329,2.9426,3.3696,-0.427,ACM_K3_380m
20220330,2.8324,3.3321,-0.4997,ACM_K3_380m
20220331,2.8755,3.3269,-0.4514,ACM_K3_380m
20220401,2.867,3.3384,-0.4714,ACM_K3_380m
20220404,2.8704,3.3378,-0.4674,ACM_K3_380m
20220405,2.9015,3.3656,-0.4641,ACM_K3_380m
20220406,2.9687,3.4105,-0.4419,ACM_K3_380m
20220407,2.942,3.3997,-0.4577,ACM_K3_380m
20220408,2.9851,3.4078,-0.4227,ACM_K3_380m
20220411,3.0211,3.4045,-0.3834,ACM_K3_380m
20220412,3.0923,3.4222,-0.3299,ACM_K3_380m
20220413,3.0763,3.4015,-0.3252,ACM_K3_380m
20220414,2.9675,3.3528,-0.3854,ACM_K3_380m
20220419,3.0623,3.3884,-0.3261,ACM_K3_380m
20220420,3.1115,3.4159,-0.3043,ACM_K3_380m
20220421,3.0901,3.427,-0.3369,ACM_K3_380m
20220422,3.1375,3.4522,-0.3146,ACM_K3_380m
20220426,3.1103,3.444,-0.3337,ACM_K3_380m
20220427,3.06,3.4199,-0.3599,ACM_K3_380m
20220428,3.0797,3.4345,-0.3548,ACM_K3_380m
20220429,3.1183,3.4475,-0.3292,ACM_K3_380m
20220502,3.2575,3.4903,-0.2327,ACM_K3_380m
20220503,3.3955,3.547,-0.1514,ACM_K3_380m
20220504,3.5332,3.5915,-0.0583,ACM_K3_380m
20220505,3.378,3.5274,-0.1494,ACM_K3_380m
20220506,3.4611,3.5466,-0.0855,ACM_K3_380m
20220509,3.5502,3.5608,-0.0106,ACM_K3_380m
20220510,3.5488,3.5399,0.0089,ACM_K3_380m
20220511,3.4869,3.5207,-0.0338,ACM_K3_380m
20220512,3.4094,3.4951,-0.0857,ACM_K3_380m
20220513,3.3819,3.465,-0.0831,ACM_K3_380m
20220516,3.3689,3.4694,-0.1005,ACM_K3_380m
20220517,3.3908,3.4736,-0.0827,ACM_K3_380m
20220518,3.4419,3.4868,-0.0449,ACM_K3_380m
20220519,3.3693,3.4685,-0.0992,ACM_K3_380m
20220520,3.2997,3.4449,-0.1452,ACM_K3_380m
20220523,3.3163,3.4502,-0.1338,ACM_K3_380m
20220524,3.311,3.4513,-0.1403,ACM_K3_380m
20220525,3.2342,3.4094,-0.1751,ACM_K3_380m
20220526,3.2012,3.4047,-0.2035,ACM_K3_380m
20220527,3.2497,3.4139,-0.1642,ACM_K3_380m
20220530,3.2527,3.413,-0.1604,ACM_K3_380m
20220531,3.3508,3.4458,-0.095,ACM_K3_380m
20220601,3.4154,3.47,-0.0546,ACM_K3_380m
20220602,3.4966,3.5037,-0.0071,ACM_K3_380m
20220603,3.4793,3.4918,-0.0126,ACM_K3_380m
20220606,3.4842,3.501,-0.0167,ACM_K3_380m
20220607,3.558,3.5137,0.0444,ACM_K3_380m
20220608,3.5432,3.5111,0.0322,ACM_K3_380m
20220609,3.6031,3.5181,0.085,ACM_K3_380m
20220610,3.6669,3.5265,0.1404,ACM_K3_380m
20220614,3.9502,3.6497,0.3005,ACM_K3_380m
20220615,4.1936,3.729,0.4646,ACM_K3_380m
20220616,3.9802,3.6446,0.3356,ACM_K3_380m
20220617,4.1159,3.7014,0.4145,ACM_K3_380m
20220620,4.0584,3.6929,0.3655,ACM_K3_380m
20220621,4.0601,3.6878,0.3723,ACM_K3_380m
20220622,3.9857,3.6365,0.3492,ACM_K3_380m
20220623,3.8544,3.5876,0.2667,ACM_K3_380m
20220624,3.7195,3.5262,0.1932,ACM_K3_380m
20220627,3.7787,3.5459,0.2328,ACM_K3_380m
20220628,3.7494,3.546,0.2034,ACM_K3_380m
20220629,3.6976,3.5189,0.1787,ACM_K3_380m
20220630,3.6589,3.4787,0.1802,ACM_K3_380m
20220701,3.5859,3.4285,0.1574,ACM_K3_380m
20220704,3.5526,3.4072,0.1454,ACM_K3_380m
20220705,3.5374,3.4147,0.1227,ACM_K3_380m
20220706,3.3975,3.3708,0.0267,ACM_K3_380m
20220707,3.4575,3.3898,0.0677,ACM_K3_380m
20220708,3.4694,3.4048,0.0646,ACM_K3_380m
20220711,3.4976,3.4095,0.0882,ACM_K3_380m
20220712,3.4041,3.3724,0.0318,ACM_K3_380m
20220713,3.3794,3.3663,0.0131,ACM_K3_380m
20220714,3.4062,3.3823,0.0238,ACM_K3_380m
20220715,3.4022,3.384,0.0182,ACM_K3_380m
20220718,3.4311,3.4041,0.0269,ACM_K3_380m
20220719,3.5085,3.437,0.0714,ACM_K3_380m
20220720,3.5421,3.4544,0.0877,ACM_K3_380m
20220721,3.5681,3.4608,0.1073,ACM_K3_380m
20220722,3.4378,3.4203,0.0175,ACM_K3_380m
20220725,3.3506,3.3913,-0.0407,ACM_K3_380m
20220726,3.334,3.3872,-0.0532,ACM_K3_380m
20220727,3.237,3.359,-0.122,ACM_K3_380m
20220728,3.1925,3.3298,-0.1373,ACM_K3_380m
20220729,3.0393,3.2687,-0.2293,ACM_K3_380m
20220801,3.0617,3.281,-0.2193,ACM_K3_380m
20220802,2.9593,3.2588,-0.2995,ACM_K3_380m
20220803,3.0558,3.2971,-0.2413,ACM_K3_380m
20220804,3.1266,3.3266,-0.2,ACM_K3_380m
20220805,3.0701,3.3093,-0.2392,ACM_K3_380m
20220808,3.2036,3.3553,-0.1517,ACM_K3_380m
20220809,3.1757,3.3542,-0.1786,ACM_K3_380m
20220810,3.2334,3.3738,-0.1404,ACM_K3_380m
20220811,3.2783,3.3868,-0.1085,ACM_K3_380m
20220812,3.4171,3.426,-0.0089,ACM_K3_380m
20220815,3.3536,3.4068,-0.0531,ACM_K3_380m
20220816,3.2146,3.3563,-0.1416,ACM_K3_380m
20220817,3.2623,3.3779,-0.1156,ACM_K3_380m
20220818,3.3243,3.397,-0.0728,ACM_K3_380m
20220819,3.3924,3.4189,-0.0265,ACM_K3_380m
20220822,3.5084,3.4646,0.0439,ACM_K3_380m
20220823,3.5688,3.4898,0.079,ACM_K3_380m
20220824,3.6129,3.4851,0.1278,ACM_K3_380m
20220825,3.6619,3.5,0.1619,ACM_K3_380m
20220826,3.5624,3.4629,0.0995,ACM_K3_380m
20220829,3.66,3.5178,0.1422,ACM_K3_380m
20220830,3.5939,3.478,0.1159,ACM_K3_380m
20220831,3.5823,3.4629,0.1194,ACM_K3_380m
20220901,3.6669,3.4946,0.1723,ACM_K3_380m
20220902,3.6364,3.4824,0.154,ACM_K3_380m
20220905,3.6309,3.4706,0.1603,ACM_K3_380m
20220906,3.6299,3.471,0.159,ACM_K3_380m
20220907,3.6842,3.4827,0.2015,ACM_K3_380m
20220908,3.5412,3.4189,0.1223,ACM_K3_380m
20220909,3.5393,3.4194,0.12,ACM_K3_380m
20220912,3.6124,3.4378,0.1746,ACM_K3_380m
20220913,3.551,3.424,0.127,ACM_K3_380m
20220914,3.6204,3.4549,0.1655,ACM_K3_380m
20220915,3.6692,3.4802,0.189,ACM_K3_380m
20220916,3.711,3.5032,0.2078,ACM_K3_380m
20220919,3.6651,3.4868,0.1782,ACM_K3_380m
20220920,3.6237,3.4702,0.1535,ACM_K3_380m
20220921,3.6555,3.4704,0.1851,ACM_K3_380m
20220923,3.9014,3.5741,0.3273,ACM_K3_380m
20220926,3.9818,3.6175,0.3643,ACM_K3_380m
20220927,4.0162,3.6076,0.4086,ACM_K3_380m
20220928,4.0827,3.6151,0.4676,ACM_K3_380m
20220929,3.9301,3.565,0.3651,ACM_K3_380m
20220930,3.8758,3.5367,0.3391,ACM_K3_380m
20221004,3.6985,3.4544,0.244,ACM_K3_380m
20221005,3.6106,3.4205,0.19,ACM_K3_380m
20221006,3.7469,3.4687,0.2783,ACM_K3_380m
20221007,3.8224,3.4939,0.3286,ACM_K3_380m
20221010,3.8405,3.4962,0.3442,ACM_K3_380m
20221011,4.0065,3.5447,0.4618,ACM_K3_380m
20221012,3.9186,3.5176,0.401,ACM_K3_380m
20221013,3.9685,3.5139,0.4547,ACM_K3_380m
20221014,3.9775,3.5426,0.4349,ACM_K3_380m
20221017,3.9908,3.5412,0.4496,ACM_K3_380m
20221018,3.8871,3.5135,0.3737,ACM_K3_380m
20221019,3.9142,3.5257,0.3885,ACM_K3_380m
20221020,4.0288,3.5737,0.4551,ACM_K3_380m
20221021,4.1684,3.6203,0.5482,ACM_K3_380m
20221024,4.1104,3.5736,0.5368,ACM_K3_380m
20221025,4.0367,3.55,0.4867,ACM_K3_380m
20221026,3.8834,3.5002,0.3832,ACM_K3_380m
20221027,3.7909,3.4653,0.3256,ACM_K3_380m
20221028,3.695,3.4211,0.2739,ACM_K3_380m
20221031,3.7126,3.4297,0.2829,ACM_K3_380m
20221101,3.7172,3.4285,0.2887,ACM_K3_380m
20221102,3.7699,3.4548,0.315,ACM_K3_380m
20221103,3.8811,3.5017,0.3794,ACM_K3_380m
20221104,3.8072,3.4602,0.347,ACM_K3_380m
20221107,3.8633,3.4671,0.3963,ACM_K3_380m
20221108,3.9977,3.5263,0.4715,ACM_K3_380m
20221109,3.832,3.4789,0.3531,ACM_K3_380m
20221110,3.6838,3.4211,0.2627,ACM_K3_380m
20221111,3.6183,3.3883,0.23,ACM_K3_380m
20221114,3.7267,3.4275,0.2991,ACM_K3_380m
20221115,3.7247,3.4326,0.292,ACM_K3_380m
20221116,3.6899,3.4181,0.2719,ACM_K3_380m
20221117,3.5849,3.3915,0.1934,ACM_K3_380m
20221118,3.5821,3.3969,0.1852,ACM_K3_380m
20221121,3.5378,3.3887,0.1491,ACM_K3_380m
20221122,3.5449,3.3989,0.1461,ACM_K3_380m
20221123,3.5429,3.4092,0.1337,ACM_K3_380m
20221124,3.4987,3.3991,0.0996,ACM_K3_380m
20221125,3.5287,3.4087,0.12,ACM_K3_380m
20221128,3.4672,3.3845,0.0827,ACM_K3_380m
20221129,3.5557,3.4042,0.1515,ACM_K3_380m
20221130,3.4761,3.3729,0.1032,ACM_K3_380m
20221201,3.4296,3.3483,0.0813,ACM_K3_380m
20221202,3.3399,3.3161,0.0239,ACM_K3_380m
20221205,3.3169,3.3116,0.0053,ACM_K3_380m
