DATE,Y10_FIT,RNY10,TP10
20210813,1.135,1.2293,-0.0944
20210816,1.1036,1.2288,-0.1252
20210817,1.0958,1.2349,-0.1391
20210818,1.1065,1.2378,-0.1313
20210819,1.0801,1.2421,-0.162
20210820,1.0839,1.2452,-0.1613
20210823,1.1033,1.239,-0.1357
20210824,1.1285,1.2333,-0.1048
20210825,1.1871,1.2239,-0.0369
20210826,1.1736,1.2275,-0.0539
20210827,1.1312,1.2378,-0.1066
20210830,1.109,1.2386,-0.1297
20210831,1.1505,1.228,-0.0775
20210901,1.0966,1.231,-0.1344
20210902,1.0744,1.2266,-0.1522
20210903,1.1063,1.2162,-0.11
20210907,1.1421,1.2189,-0.0769
20210908,1.1177,1.2213,-0.1037
20210909,1.0947,1.2263,-0.1316
20210910,1.1488,1.2235,-0.0748
20210913,1.1397,1.2219,-0.0822
20210914,1.0905,1.2318,-0.1414
20210915,1.1407,1.2313,-0.0906
20210916,1.1593,1.2341,-0.0748
20210917,1.2159,1.2296,-0.0137
20210920,1.1482,1.2344,-0.0862
20210921,1.1482,1.2344,-0.0862
20210922,1.1744,1.2353,-0.0609
20210923,1.287,1.2279,0.0591
20210924,1.3328,1.2258,0.1069
20210927,1.3657,1.2228,0.1429
20210928,1.4362,1.2141,0.2221
20210929,1.4528,1.2154,0.2374
20211001,1.4106,1.2134,0.1971
20211004,1.4324,1.2037,0.2287
20211005,1.4621,1.209,0.2531
20211006,1.4343,1.2394,0.1949
20211007,1.4875,1.2428,0.2447
20211008,1.551,1.2589,0.2921
20211012,1.555,1.2961,0.259
20211013,1.5522,1.3194,0.2328
20211014,1.4714,1.3009,0.1705
20211015,1.5145,1.3228,0.1916
20211018,1.5212,1.3618,0.1594
20211019,1.5627,1.3656,0.1971
20211020,1.5603,1.3451,0.2152
20211021,1.6113,1.3689,0.2424
20211022,1.586,1.3775,0.2085
20211025,1.5864,1.3744,0.212
20211026,1.5655,1.383,0.1825
20211027,1.5349,1.5236,0.0112
20211028,1.5808,1.4882,0.0927
20211029,1.6502,1.508,0.1422
20211101,1.6634,1.5026,0.1608
20211102,1.6373,1.4974,0.1399
20211103,1.625,1.4987,0.1263
20211104,1.562,1.474,0.088
20211105,1.5199,1.46,0.0599
20211108,1.5632,1.4626,0.1006
20211109,1.5312,1.4489,0.0823
20211110,1.6241,1.471,0.1531
20211112,1.5937,1.4907,0.1031
20211115,1.6374,1.4923,0.1451
20211116,1.7005,1.5058,0.1947
20211117,1.6219,1.4977,0.1242
20211118,1.6112,1.4952,0.1159
20211119,1.5824,1.4961,0.0863
20211122,1.6865,1.5126,0.1739
20211123,1.7248,1.5106,0.2142
20211124,1.6927,1.5139,0.1788
20211125,1.6971,1.5066,0.1904
20211126,1.5215,1.4726,0.0489
20211129,1.5463,1.4701,0.0763
20211130,1.5081,1.502,0.0061
20211201,1.4307,1.508,-0.0774
20211202,1.422,1.5153,-0.0933
20211203,1.3767,1.5557,-0.179
20211206,1.4368,1.5762,-0.1394
20211207,1.4932,1.6165,-0.1233
20211208,1.4658,1.6003,-0.1345
20211209,1.4145,1.5444,-0.1299
20211210,1.384,1.5268,-0.1428
20211213,1.3127,1.5171,-0.2045
20211214,1.3548,1.5223,-0.1675
20211215,1.3252,1.5318,-0.2067
20211216,1.2569,1.5247,-0.2678
20211217,1.2295,1.5387,-0.3093
20211220,1.2837,1.5396,-0.2559
20211221,1.3413,1.5689,-0.2276
20211222,1.3185,1.5594,-0.2409
20211223,1.3378,1.56,-0.2222
20211224,1.3687,1.5467,-0.178
20211229,1.3842,1.5476,-0.1634
20211230,1.3591,1.5533,-0.1943
20211231,1.3263,1.5499,-0.2236
20220104,1.4925,1.5531,-0.0606
20220105,1.5352,1.5538,-0.0187
20220106,1.6048,1.571,0.0337
20220107,1.607,1.5857,0.0213
20220110,1.613,1.5884,0.0246
20220111,1.6041,1.5853,0.0188
20220112,1.62,1.6023,0.0177
20220113,1.5886,1.6156,-0.027
20220114,1.6503,1.6252,0.0251
20220117,1.6882,1.6626,0.0257
20220118,1.7808,1.6642,0.1166
20220119,1.7835,1.6454,0.1381
20220120,1.7685,1.651,0.1175
20220121,1.7036,1.644,0.0596
20220124,1.7221,1.6368,0.0852
20220125,1.7199,1.6475,0.0724
20220126,1.7604,1.6334,0.1269
20220127,1.7054,1.6543,0.0512
20220128,1.6809,1.6534,0.0275
20220131,1.7021,1.6535,0.0487
20220201,1.7243,1.6529,0.0714
20220202,1.6565,1.6761,-0.0197
20220203,1.6852,1.6901,-0.005
20220204,1.7363,1.7301,0.0062
20220207,1.7139,1.7203,-0.0064
20220208,1.7329,1.7281,0.0048
20220209,1.7224,1.7342,-0.0119
20220210,1.8376,1.7688,0.0688
20220211,1.7262,1.7832,-0.057
