DATE,Y10_FIT,RNY10,TP10,QUALITY
20210923,-0.2585,0.9168,-1.1752,ACM_K3_265m
20210924,-0.2054,0.8925,-1.0979,ACM_K3_265m
20210927,-0.2061,0.897,-1.103,ACM_K3_265m
20210928,-0.1649,0.8814,-1.0463,ACM_K3_265m
20210929,-0.2102,0.8953,-1.1055,ACM_K3_265m
20210930,-0.1713,0.8793,-1.0506,ACM_K3_265m
20211001,-0.2158,0.8848,-1.1006,ACM_K3_265m
20211004,-0.1861,0.8697,-1.0558,ACM_K3_265m
20211005,-0.1805,0.8619,-1.0424,ACM_K3_265m
20211006,-0.1698,0.8648,-1.0346,ACM_K3_265m
20211007,-0.1662,0.8533,-1.0195,ACM_K3_265m
20211008,-0.1363,0.8436,-0.9799,ACM_K3_265m
20211011,-0.101,0.8392,-0.9401,ACM_K3_265m
20211012,-0.0847,0.8434,-0.9281,ACM_K3_265m
20211013,-0.115,0.8682,-0.9832,ACM_K3_265m
20211014,-0.1613,0.881,-1.0423,ACM_K3_265m
20211015,-0.1423,0.88,-1.0223,ACM_K3_265m
20211018,-0.126,0.9064,-1.0324,ACM_K3_265m
20211019,-0.0818,0.9122,-0.994,ACM_K3_265m
20211020,-0.1013,0.8829,-0.9842,ACM_K3_265m
20211021,-0.0688,0.8803,-0.9491,ACM_K3_265m
20211022,-0.074,0.901,-0.975,ACM_K3_265m
20211025,-0.094,0.8908,-0.9848,ACM_K3_265m
20211026,-0.108,0.8967,-1.0047,ACM_K3_265m
20211027,-0.1612,0.9288,-1.09,ACM_K3_265m
20211028,-0.1388,0.9495,-1.0883,ACM_K3_265m
20211029,-0.064,0.9446,-1.0086,ACM_K3_265m
20211101,-0.0822,0.9482,-1.0304,ACM_K3_265m
20211102,-0.1449,0.9101,-1.055,ACM_K3_265m
20211103,-0.1472,0.9216,-1.0688,ACM_K3_265m
20211104,-0.213,0.8813,-1.0943,ACM_K3_265m
20211105,-0.2639,0.9076,-1.1714,ACM_K3_265m
20211108,-0.2492,0.8906,-1.1398,ACM_K3_265m
20211109,-0.2789,0.9044,-1.1833,ACM_K3_265m
20211110,-0.2535,0.9058,-1.1593,ACM_K3_265m
20211111,-0.2117,0.8967,-1.1084,ACM_K3_265m
20211112,-0.239,0.8788,-1.1178,ACM_K3_265m
20211115,-0.2309,0.8888,-1.1197,ACM_K3_265m
20211116,-0.2248,0.8659,-1.0907,ACM_K3_265m
20211117,-0.2277,0.8708,-1.0986,ACM_K3_265m
20211118,-0.2464,0.8779,-1.1243,ACM_K3_265m
20211119,-0.3175,0.8885,-1.206,ACM_K3_265m
20211122,-0.3105,0.893,-1.2035,ACM_K3_265m
20211123,-0.227,0.8646,-1.0916,ACM_K3_265m
20211124,-0.2,0.8408,-1.0409,ACM_K3_265m
20211125,-0.2398,0.8881,-1.1279,ACM_K3_265m
20211126,-0.3224,0.9082,-1.2306,ACM_K3_265m
20211129,-0.2915,0.9106,-1.2021,ACM_K3_265m
20211130,-0.3536,0.9379,-1.2915,ACM_K3_265m
20211201,-0.3261,0.9759,-1.302,ACM_K3_265m
20211202,-0.372,0.9752,-1.3472,ACM_K3_265m
20211203,-0.3563,0.9818,-1.3381,ACM_K3_265m
20211206,-0.3792,0.9879,-1.367,ACM_K3_265m
20211207,-0.3654,1.0087,-1.3741,ACM_K3_265m
20211208,-0.3203,1.003,-1.3233,ACM_K3_265m
20211209,-0.3511,0.9989,-1.35,ACM_K3_265m
20211210,-0.3419,1.0006,-1.3425,ACM_K3_265m
20211213,-0.3645,1.0217,-1.3863,ACM_K3_265m
20211215,-0.3477,1.0196,-1.3673,ACM_K3_265m
20211216,-0.3374,1.0037,-1.3411,ACM_K3_265m
20211217,-0.3642,0.9994,-1.3637,ACM_K3_265m
20211220,-0.3563,0.9884,-1.3447,ACM_K3_265m
20211221,-0.3021,0.9695,-1.2716,ACM_K3_265m
20211222,-0.2742,0.971,-1.2452,ACM_K3_265m
20211223,-0.24,0.9624,-1.2024,ACM_K3_265m
20211224,-0.2397,0.9596,-1.1994,ACM_K3_265m
20211227,-0.2311,0.9644,-1.1955,ACM_K3_265m
20211228,-0.2293,0.9681,-1.1974,ACM_K3_265m
20211229,-0.1967,0.9498,-1.1466,ACM_K3_265m
20211230,-0.1842,0.956,-1.1402,ACM_K3_265m
20211231,-0.1847,0.9545,-1.1392,ACM_K3_265m
20220103,-0.1161,0.9274,-1.0434,ACM_K3_265m
20220104,-0.103,0.9072,-1.0102,ACM_K3_265m
20220105,-0.0975,0.9221,-1.0196,ACM_K3_265m
20220106,-0.077,0.9283,-1.0054,ACM_K3_265m
20220107,-0.0604,0.9251,-0.9855,ACM_K3_265m
20220110,-0.0348,0.9211,-0.9559,ACM_K3_265m
20220111,-0.0302,0.9249,-0.9551,ACM_K3_265m
20220112,-0.0579,0.9229,-0.9808,ACM_K3_265m
20220113,-0.0821,0.945,-1.0271,ACM_K3_265m
20220114,-0.0609,0.9329,-0.9938,ACM_K3_265m
20220117,-0.0284,0.9383,-0.9667,ACM_K3_265m
20220118,-0.0278,0.9329,-0.9608,ACM_K3_265m
20220119,-0.0007,0.9198,-0.9205,ACM_K3_265m
20220120,-0.0307,0.9302,-0.9609,ACM_K3_265m
20220121,-0.0623,0.9139,-0.9762,ACM_K3_265m
20220124,-0.0881,0.903,-0.9911,ACM_K3_265m
20220125,-0.0783,0.8883,-0.9666,ACM_K3_265m
20220126,-0.0554,0.8961,-0.9515,ACM_K3_265m
20220127,-0.0404,0.9153,-0.9557,ACM_K3_265m
20220128,-0.0202,0.916,-0.9362,ACM_K3_265m
20220131,0.0425,0.9308,-0.8883,ACM_K3_265m
20220201,0.0587,0.9287,-0.87,ACM_K3_265m
20220202,0.0729,0.938,-0.8651,ACM_K3_265m
20220203,0.1587,0.9865,-0.8278,ACM_K3_265m
