DATE,Y10_FIT,RNY10,TP10,QUALITY
20210924,0.9165,1.6908,-0.7744,ACM_K3_416m
20210927,0.9414,1.678,-0.7366,ACM_K3_416m
20210928,0.9828,1.6774,-0.6946,ACM_K3_416m
20210929,0.9746,1.6745,-0.6999,ACM_K3_416m
20210930,1.0272,1.6804,-0.6531,ACM_K3_416m
20211001,1.0122,1.6743,-0.6621,ACM_K3_416m
20211004,1.0001,1.6645,-0.6644,ACM_K3_416m
20211005,1.0844,1.6843,-0.5998,ACM_K3_416m
20211006,1.0683,1.6991,-0.6308,ACM_K3_416m
20211007,1.0721,1.7054,-0.6334,ACM_K3_416m
20211008,1.1489,1.7406,-0.5917,ACM_K3_416m
20211011,1.1717,1.7569,-0.5853,ACM_K3_416m
20211012,1.132,1.7571,-0.6251,ACM_K3_416m
20211013,1.0451,1.7845,-0.7393,ACM_K3_416m
20211014,1.0259,1.7554,-0.7295,ACM_K3_416m
20211015,1.0703,1.7839,-0.7136,ACM_K3_416m
20211018,1.0895,1.8996,-0.8101,ACM_K3_416m
20211019,1.1171,1.8923,-0.7752,ACM_K3_416m
20211020,1.1202,1.859,-0.7389,ACM_K3_416m
20211021,1.1774,1.8616,-0.6842,ACM_K3_416m
20211022,1.1322,1.871,-0.7388,ACM_K3_416m
20211025,1.1111,1.8443,-0.7332,ACM_K3_416m
20211026,1.0855,1.8399,-0.7544,ACM_K3_416m
20211027,0.9514,1.8302,-0.8788,ACM_K3_416m
20211028,0.9517,1.8959,-0.9442,ACM_K3_416m
20211029,1.0086,1.9806,-0.972,ACM_K3_416m
20211101,1.0416,1.952,-0.9104,ACM_K3_416m
20211102,1.001,1.9324,-0.9314,ACM_K3_416m
20211103,1.0389,1.9493,-0.9104,ACM_K3_416m
20211104,0.9299,1.7923,-0.8624,ACM_K3_416m
20211105,0.8196,1.7539,-0.9343,ACM_K3_416m
20211108,0.8346,1.755,-0.9204,ACM_K3_416m
20211109,0.7987,1.8228,-1.0241,ACM_K3_416m
20211110,0.8979,1.8989,-1.001,ACM_K3_416m
20211111,0.8887,1.8965,-1.0078,ACM_K3_416m
20211112,0.8922,1.8542,-0.962,ACM_K3_416m
20211115,0.9245,1.8708,-0.9463,ACM_K3_416m
20211116,0.9407,1.8978,-0.957,ACM_K3_416m
20211117,0.9507,1.8768,-0.9261,ACM_K3_416m
20211118,0.9074,1.8548,-0.9474,ACM_K3_416m
20211119,0.8603,1.8349,-0.9746,ACM_K3_416m
20211122,0.9082,1.8556,-0.9473,ACM_K3_416m
20211123,0.9465,1.8946,-0.9481,ACM_K3_416m
20211124,0.9811,1.9031,-0.9221,ACM_K3_416m
20211125,0.9388,1.8961,-0.9573,ACM_K3_416m
20211126,0.7857,1.8433,-1.0576,ACM_K3_416m
20211129,0.8233,1.864,-1.0407,ACM_K3_416m
20211130,0.7975,1.8887,-1.0912,ACM_K3_416m
20211201,0.8103,1.9147,-1.1044,ACM_K3_416m
20211202,0.7731,1.9068,-1.1337,ACM_K3_416m
20211203,0.7432,1.8939,-1.1507,ACM_K3_416m
20211206,0.7117,1.8778,-1.1661,ACM_K3_416m
20211207,0.701,1.8757,-1.1747,ACM_K3_416m
20211208,0.7342,1.8409,-1.1067,ACM_K3_416m
20211209,0.7297,1.8135,-1.0838,ACM_K3_416m
20211210,0.7067,1.8088,-1.102,ACM_K3_416m
20220120,1.2128,2.0551,-0.8423,ACM_K3_416m
20220121,1.1533,2.0523,-0.8989,ACM_K3_416m
20220124,1.1087,2.0577,-0.949,ACM_K3_416m
20220125,1.1364,2.0622,-0.9258,ACM_K3_416m
20220126,1.1844,2.0795,-0.895,ACM_K3_416m
20220127,1.2095,2.1114,-0.902,ACM_K3_416m
