DATE,Y10_FIT,RNY10,TP10,QUALITY
20210915,0.0407,0.1775,-0.1368,ACM_K3_483m
20210916,0.0519,0.178,-0.1261,ACM_K3_483m
20210917,0.0568,0.1722,-0.1154,ACM_K3_483m
20210921,0.0468,0.1717,-0.1249,ACM_K3_483m
20210922,0.0433,0.1745,-0.1312,ACM_K3_483m
20210924,0.0627,0.1634,-0.1007,ACM_K3_483m
20210927,0.0632,0.1725,-0.1094,ACM_K3_483m
20210928,0.0844,0.1662,-0.0818,ACM_K3_483m
20210929,0.0803,0.1649,-0.0846,ACM_K3_483m
20210930,0.0814,0.179,-0.0976,ACM_K3_483m
20211001,0.064,0.1754,-0.1114,ACM_K3_483m
20211004,0.0589,0.1843,-0.1254,ACM_K3_483m
20211005,0.0623,0.1792,-0.1169,ACM_K3_483m
20211006,0.0835,0.1756,-0.0921,ACM_K3_483m
20211007,0.0738,0.1753,-0.1016,ACM_K3_483m
20211008,0.0835,0.1745,-0.091,ACM_K3_483m
20211011,0.093,0.1697,-0.0767,ACM_K3_483m
20211012,0.0932,0.1663,-0.0731,ACM_K3_483m
20211013,0.0883,0.1641,-0.0758,ACM_K3_483m
20211014,0.0838,0.1668,-0.083,ACM_K3_483m
20211015,0.0788,0.1701,-0.0913,ACM_K3_483m
20211018,0.0945,0.166,-0.0715,ACM_K3_483m
20211019,0.0905,0.1647,-0.0742,ACM_K3_483m
20211020,0.0946,0.1655,-0.0709,ACM_K3_483m
20211021,0.0897,0.1648,-0.0751,ACM_K3_483m
20211022,0.0948,0.1595,-0.0648,ACM_K3_483m
20211025,0.099,0.1628,-0.0638,ACM_K3_483m
20211026,0.1041,0.1625,-0.0585,ACM_K3_483m
20211027,0.1002,0.1687,-0.0685,ACM_K3_483m
20211028,0.0901,0.1758,-0.0857,ACM_K3_483m
20211029,0.1,0.1765,-0.0765,ACM_K3_483m
20211101,0.0956,0.1774,-0.0818,ACM_K3_483m
20211102,0.0859,0.1937,-0.1078,ACM_K3_483m
20211104,0.0798,0.1928,-0.1129,ACM_K3_483m
20211105,0.0656,0.1891,-0.1235,ACM_K3_483m
20211108,0.0613,0.1884,-0.1271,ACM_K3_483m
20211109,0.0681,0.1924,-0.1243,ACM_K3_483m
20211110,0.0621,0.1904,-0.1283,ACM_K3_483m
20211111,0.072,0.1856,-0.1136,ACM_K3_483m
20211112,0.0777,0.1675,-0.0898,ACM_K3_483m
20211115,0.0717,0.1592,-0.0876,ACM_K3_483m
20211116,0.0777,0.1495,-0.0718,ACM_K3_483m
20211117,0.0787,0.1467,-0.068,ACM_K3_483m
20211118,0.0894,0.147,-0.0576,ACM_K3_483m
20211119,0.0833,0.1451,-0.0618,ACM_K3_483m
20211122,0.0794,0.1501,-0.0707,ACM_K3_483m
20211124,0.0909,0.1471,-0.0562,ACM_K3_483m
20211125,0.0901,0.1385,-0.0483,ACM_K3_483m
20211126,0.0792,0.1415,-0.0623,ACM_K3_483m
20211129,0.0812,0.1435,-0.0623,ACM_K3_483m
20211130,0.0661,0.1635,-0.0974,ACM_K3_483m
20211201,0.0717,0.1591,-0.0875,ACM_K3_483m
20211202,0.0654,0.1741,-0.1086,ACM_K3_483m
20211203,0.0616,0.1783,-0.1167,ACM_K3_483m
20211206,0.0465,0.1775,-0.131,ACM_K3_483m
20211207,0.0616,0.1695,-0.1079,ACM_K3_483m
20211208,0.0564,0.1702,-0.1138,ACM_K3_483m
20211209,0.0575,0.178,-0.1205,ACM_K3_483m
20211210,0.0623,0.18,-0.1176,ACM_K3_483m
20211213,0.0569,0.1827,-0.1258,ACM_K3_483m
20211214,0.0586,0.1811,-0.1225,ACM_K3_483m
20211215,0.0575,0.1817,-0.1242,ACM_K3_483m
20211216,0.0527,0.1857,-0.133,ACM_K3_483m
20211217,0.0589,0.1931,-0.1342,ACM_K3_483m
20211220,0.0486,0.196,-0.1474,ACM_K3_483m
20211221,0.065,0.1897,-0.1247,ACM_K3_483m
20211222,0.0704,0.1921,-0.1217,ACM_K3_483m
