DATE,Y10_FIT,RNY10,TP10,QUALITY
20210915,1.7800,2.9213,-1.1413,SYNTH_AUD_ANCHOR
20210916,1.8300,2.9283,-1.0983,SYNTH_AUD_ANCHOR
20210917,1.8700,2.9345,-1.0645,SYNTH_AUD_ANCHOR
20210920,1.8900,2.9460,-1.0560,SYNTH_AUD_ANCHOR
20210921,1.8600,2.9424,-1.0824,SYNTH_AUD_ANCHOR
20210922,1.8700,2.9537,-1.0837,SYNTH_AUD_ANCHOR
20210923,1.8200,2.9220,-1.1020,SYNTH_AUD_ANCHOR
20210924,1.9300,2.9234,-0.9934,SYNTH_AUD_ANCHOR
20210927,1.9300,2.9231,-0.9931,SYNTH_AUD_ANCHOR
20210928,1.9600,2.9114,-0.9514,SYNTH_AUD_ANCHOR
20210929,1.9700,2.9150,-0.9450,SYNTH_AUD_ANCHOR
20210930,2.0000,2.9335,-0.9335,SYNTH_AUD_ANCHOR
20211001,2.0100,2.9419,-0.9319,SYNTH_AUD_ANCHOR
20211004,1.9800,2.9111,-0.9311,SYNTH_AUD_ANCHOR
20211005,1.9900,2.9271,-0.9371,SYNTH_AUD_ANCHOR
20211006,2.0000,2.8965,-0.8965,SYNTH_AUD_ANCHOR
20211007,1.9900,2.9022,-0.9122,SYNTH_AUD_ANCHOR
20211008,2.0400,2.9093,-0.8693,SYNTH_AUD_ANCHOR
20211011,2.0900,2.9362,-0.8462,SYNTH_AUD_ANCHOR
20211012,2.1000,2.9122,-0.8122,SYNTH_AUD_ANCHOR
20211013,2.1300,2.9467,-0.8167,SYNTH_AUD_ANCHOR
20211014,2.1100,2.9622,-0.8522,SYNTH_AUD_ANCHOR
20211015,2.1700,2.9885,-0.8185,SYNTH_AUD_ANCHOR
20211018,2.3300,3.0591,-0.7291,SYNTH_AUD_ANCHOR
20211019,2.3300,3.0683,-0.7383,SYNTH_AUD_ANCHOR
20211020,2.3700,3.0527,-0.6827,SYNTH_AUD_ANCHOR
20211021,2.4200,3.0919,-0.6719,SYNTH_AUD_ANCHOR
20211022,2.4200,3.0818,-0.6618,SYNTH_AUD_ANCHOR
20211026,2.4400,3.0979,-0.6579,SYNTH_AUD_ANCHOR
20211027,2.5400,3.1754,-0.6354,SYNTH_AUD_ANCHOR
20211028,2.5900,3.2628,-0.6728,SYNTH_AUD_ANCHOR
20211029,2.5800,3.2001,-0.6201,SYNTH_AUD_ANCHOR
20211101,2.5400,3.2395,-0.6995,SYNTH_AUD_ANCHOR
20211102,2.5400,3.2416,-0.7016,SYNTH_AUD_ANCHOR
20211103,2.5200,3.2290,-0.7090,SYNTH_AUD_ANCHOR
20211104,2.5600,3.2667,-0.7067,SYNTH_AUD_ANCHOR
20211105,2.5200,3.2407,-0.7207,SYNTH_AUD_ANCHOR
20211108,2.5100,3.2508,-0.7408,SYNTH_AUD_ANCHOR
20211109,2.5300,3.2468,-0.7168,SYNTH_AUD_ANCHOR
20211110,2.5200,3.2658,-0.7458,SYNTH_AUD_ANCHOR
20211111,2.6100,3.3118,-0.7018,SYNTH_AUD_ANCHOR
20211112,2.6000,3.3137,-0.7137,SYNTH_AUD_ANCHOR
20211115,2.6400,3.3385,-0.6985,SYNTH_AUD_ANCHOR
20211116,2.6700,3.3383,-0.6683,SYNTH_AUD_ANCHOR
20211117,2.6700,3.3197,-0.6497,SYNTH_AUD_ANCHOR
20211118,2.6300,3.3196,-0.6896,SYNTH_AUD_ANCHOR
20211119,2.6200,3.3043,-0.6843,SYNTH_AUD_ANCHOR
20211122,2.6000,3.3030,-0.7030,SYNTH_AUD_ANCHOR
20211123,2.6100,3.2854,-0.6754,SYNTH_AUD_ANCHOR
20211124,2.5600,3.2472,-0.6872,SYNTH_AUD_ANCHOR
20211125,2.5800,3.2595,-0.6795,SYNTH_AUD_ANCHOR
20211126,2.5300,3.2759,-0.7459,SYNTH_AUD_ANCHOR
20211129,2.5200,3.2638,-0.7438,SYNTH_AUD_ANCHOR
20211130,2.4900,3.2648,-0.7748,SYNTH_AUD_ANCHOR
20211201,2.4600,3.2385,-0.7785,SYNTH_AUD_ANCHOR
20211202,2.4200,3.2374,-0.8174,SYNTH_AUD_ANCHOR
20211203,2.3900,3.2478,-0.8578,SYNTH_AUD_ANCHOR
20211206,2.3500,3.2323,-0.8823,SYNTH_AUD_ANCHOR
20211207,2.4100,3.2492,-0.8392,SYNTH_AUD_ANCHOR
20211208,2.4300,3.2751,-0.8451,SYNTH_AUD_ANCHOR
20211209,2.4900,3.2800,-0.7900,SYNTH_AUD_ANCHOR
20211210,2.4700,3.2823,-0.8123,SYNTH_AUD_ANCHOR
20211213,2.4300,3.2692,-0.8392,SYNTH_AUD_ANCHOR
20211214,2.3800,3.2614,-0.8814,SYNTH_AUD_ANCHOR
20211215,2.3500,3.2421,-0.8921,SYNTH_AUD_ANCHOR
20211216,2.3300,3.2404,-0.9104,SYNTH_AUD_ANCHOR
20211217,2.3100,3.2190,-0.9090,SYNTH_AUD_ANCHOR
20211220,2.2700,3.2082,-0.9382,SYNTH_AUD_ANCHOR
20211221,2.2800,3.1858,-0.9058,SYNTH_AUD_ANCHOR
20211222,2.3200,3.2029,-0.8829,SYNTH_AUD_ANCHOR
20211223,2.3300,3.2055,-0.8755,SYNTH_AUD_ANCHOR
20211224,2.3500,3.2252,-0.8752,SYNTH_AUD_ANCHOR
20211229,2.3100,3.2165,-0.9065,SYNTH_AUD_ANCHOR
20211230,2.3500,3.2047,-0.8547,SYNTH_AUD_ANCHOR
20211231,2.3800,3.2120,-0.8320,SYNTH_AUD_ANCHOR
20220105,2.4800,3.2423,-0.7623,SYNTH_AUD_ANCHOR
20220106,2.5300,3.2499,-0.7199,SYNTH_AUD_ANCHOR
20220107,2.5300,3.2514,-0.7214,SYNTH_AUD_ANCHOR
20220110,2.5900,3.2593,-0.6693,SYNTH_AUD_ANCHOR
20220111,2.5900,3.2679,-0.6779,SYNTH_AUD_ANCHOR
20220112,2.5500,3.2611,-0.7111,SYNTH_AUD_ANCHOR
20220113,2.5300,3.2512,-0.7212,SYNTH_AUD_ANCHOR
20220114,2.5100,3.2511,-0.7411,SYNTH_AUD_ANCHOR
20220117,2.5800,3.2798,-0.6998,SYNTH_AUD_ANCHOR
20220118,2.5500,3.2598,-0.7098,SYNTH_AUD_ANCHOR
20220119,2.6100,3.2825,-0.6725,SYNTH_AUD_ANCHOR
20220120,2.5900,3.2810,-0.6910,SYNTH_AUD_ANCHOR
20220121,2.5300,3.2646,-0.7346,SYNTH_AUD_ANCHOR
20220124,2.5300,3.2651,-0.7351,SYNTH_AUD_ANCHOR
20220125,2.5700,3.2982,-0.7282,SYNTH_AUD_ANCHOR
20220126,2.6200,3.3410,-0.7210,SYNTH_AUD_ANCHOR
20220127,2.6700,3.3413,-0.6713,SYNTH_AUD_ANCHOR
20220128,2.6100,3.3343,-0.7243,SYNTH_AUD_ANCHOR
20220131,2.6100,3.3340,-0.7240,SYNTH_AUD_ANCHOR
20220201,2.6000,3.3294,-0.7294,SYNTH_AUD_ANCHOR
20220202,2.5800,3.3119,-0.7319,SYNTH_AUD_ANCHOR
20220203,2.5200,3.2895,-0.7695,SYNTH_AUD_ANCHOR
20220204,2.6000,3.3162,-0.7162,SYNTH_AUD_ANCHOR
20220208,2.7100,3.3463,-0.6363,SYNTH_AUD_ANCHOR
20220209,2.7500,3.3768,-0.6268,SYNTH_AUD_ANCHOR
20220210,2.7300,3.3603,-0.6303,SYNTH_AUD_ANCHOR
20220211,2.8200,3.3939,-0.5739,SYNTH_AUD_ANCHOR
20220214,2.7900,3.4027,-0.6127,SYNTH_AUD_ANCHOR
20220215,2.8300,3.4177,-0.5877,SYNTH_AUD_ANCHOR
20220216,2.8400,3.4094,-0.5694,SYNTH_AUD_ANCHOR
20220217,2.8200,3.3969,-0.5769,SYNTH_AUD_ANCHOR
20220218,2.8200,3.3811,-0.5611,SYNTH_AUD_ANCHOR
20220221,2.7700,3.3617,-0.5917,SYNTH_AUD_ANCHOR
20220222,2.7100,3.3362,-0.6262,SYNTH_AUD_ANCHOR
20220223,2.7900,3.3715,-0.5815,SYNTH_AUD_ANCHOR
20220224,2.7700,3.3877,-0.6177,SYNTH_AUD_ANCHOR
20220225,2.8000,3.3831,-0.5831,SYNTH_AUD_ANCHOR
20220228,2.7500,3.3669,-0.6169,SYNTH_AUD_ANCHOR
20220301,2.7700,3.3533,-0.5833,SYNTH_AUD_ANCHOR
20220302,2.7400,3.3649,-0.6249,SYNTH_AUD_ANCHOR
20220303,2.7900,3.3750,-0.5850,SYNTH_AUD_ANCHOR
20220304,2.8000,3.3932,-0.5932,SYNTH_AUD_ANCHOR
20220307,2.7400,3.3648,-0.6248,SYNTH_AUD_ANCHOR
20220308,2.8200,3.3830,-0.5630,SYNTH_AUD_ANCHOR
20220309,2.8900,3.4053,-0.5153,SYNTH_AUD_ANCHOR
20220310,2.9400,3.4208,-0.4808,SYNTH_AUD_ANCHOR
20220311,2.9800,3.4406,-0.4606,SYNTH_AUD_ANCHOR
20220314,3.0300,3.4522,-0.4222,SYNTH_AUD_ANCHOR
20220315,3.1300,3.4857,-0.3557,SYNTH_AUD_ANCHOR
20220316,3.1600,3.5057,-0.3457,SYNTH_AUD_ANCHOR
20220317,3.1600,3.5072,-0.3472,SYNTH_AUD_ANCHOR
20220318,3.1700,3.4971,-0.3271,SYNTH_AUD_ANCHOR
20220321,3.1600,3.4941,-0.3341,SYNTH_AUD_ANCHOR
20220322,3.2900,3.5490,-0.2590,SYNTH_AUD_ANCHOR
20220323,3.3300,3.5548,-0.2248,SYNTH_AUD_ANCHOR
20220324,3.3000,3.5261,-0.2261,SYNTH_AUD_ANCHOR
20220325,3.3000,3.5447,-0.2447,SYNTH_AUD_ANCHOR
20220328,3.3400,3.5615,-0.2215,SYNTH_AUD_ANCHOR
20220329,3.3200,3.5754,-0.2554,SYNTH_AUD_ANCHOR
20220330,3.2800,3.5829,-0.3029,SYNTH_AUD_ANCHOR
20220331,3.2200,3.5178,-0.2978,SYNTH_AUD_ANCHOR
20220401,3.2700,3.5622,-0.2922,SYNTH_AUD_ANCHOR
20220404,3.2900,3.5726,-0.2826,SYNTH_AUD_ANCHOR
20220405,3.2500,3.5553,-0.3053,SYNTH_AUD_ANCHOR
20220406,3.4200,3.6651,-0.2451,SYNTH_AUD_ANCHOR
20220407,3.4400,3.6853,-0.2453,SYNTH_AUD_ANCHOR
20220408,3.4500,3.6763,-0.2263,SYNTH_AUD_ANCHOR
20220411,3.5100,3.6910,-0.1810,SYNTH_AUD_ANCHOR
20220412,3.5500,3.6911,-0.1411,SYNTH_AUD_ANCHOR
20220413,3.4600,3.6288,-0.1688,SYNTH_AUD_ANCHOR
20220414,3.4200,3.6242,-0.2042,SYNTH_AUD_ANCHOR
20220419,3.4700,3.6329,-0.1629,SYNTH_AUD_ANCHOR
20220420,3.5100,3.6531,-0.1431,SYNTH_AUD_ANCHOR
20220421,3.5000,3.6685,-0.1685,SYNTH_AUD_ANCHOR
20220422,3.5800,3.7130,-0.1330,SYNTH_AUD_ANCHOR
20220426,3.6000,3.7345,-0.1345,SYNTH_AUD_ANCHOR
20220427,3.6200,3.7531,-0.1331,SYNTH_AUD_ANCHOR
20220428,3.5900,3.7404,-0.1504,SYNTH_AUD_ANCHOR
20220429,3.6400,3.7608,-0.1208,SYNTH_AUD_ANCHOR
20220502,3.6900,3.7503,-0.0603,SYNTH_AUD_ANCHOR
20220503,3.7100,3.7350,-0.0250,SYNTH_AUD_ANCHOR
20220504,3.8100,3.7599,0.0501,SYNTH_AUD_ANCHOR
20220505,3.7500,3.7542,-0.0042,SYNTH_AUD_ANCHOR
20220506,3.8000,3.7523,0.0477,SYNTH_AUD_ANCHOR
20220509,3.8200,3.7274,0.0926,SYNTH_AUD_ANCHOR
20220510,3.8000,3.6963,0.1037,SYNTH_AUD_ANCHOR
20220511,3.7700,3.6970,0.0730,SYNTH_AUD_ANCHOR
20220512,3.7000,3.6757,0.0243,SYNTH_AUD_ANCHOR
20220513,3.6200,3.6155,0.0045,SYNTH_AUD_ANCHOR
20220516,3.5800,3.6021,-0.0221,SYNTH_AUD_ANCHOR
20220517,3.6300,3.6223,0.0077,SYNTH_AUD_ANCHOR
20220518,3.6400,3.6125,0.0275,SYNTH_AUD_ANCHOR
20220519,3.6300,3.6304,-0.0004,SYNTH_AUD_ANCHOR
20220520,3.5100,3.5752,-0.0652,SYNTH_AUD_ANCHOR
20220523,3.5300,3.5822,-0.0522,SYNTH_AUD_ANCHOR
20220524,3.5000,3.5671,-0.0671,SYNTH_AUD_ANCHOR
20220525,3.5600,3.6071,-0.0471,SYNTH_AUD_ANCHOR
20220526,3.5000,3.5843,-0.0843,SYNTH_AUD_ANCHOR
20220527,3.5200,3.5774,-0.0574,SYNTH_AUD_ANCHOR
20220530,3.5400,3.5860,-0.0460,SYNTH_AUD_ANCHOR
20220531,3.6200,3.6078,0.0122,SYNTH_AUD_ANCHOR
20220601,3.6300,3.5994,0.0306,SYNTH_AUD_ANCHOR
20220602,3.6700,3.6083,0.0617,SYNTH_AUD_ANCHOR
20220603,3.6800,3.6138,0.0662,SYNTH_AUD_ANCHOR
20220607,3.7500,3.6276,0.1224,SYNTH_AUD_ANCHOR
20220608,3.8000,3.6658,0.1342,SYNTH_AUD_ANCHOR
20220609,3.8800,3.6858,0.1942,SYNTH_AUD_ANCHOR
20220610,3.9300,3.6872,0.2428,SYNTH_AUD_ANCHOR
20220613,4.0600,3.7624,0.2976,SYNTH_AUD_ANCHOR
20220614,4.2300,3.8203,0.4097,SYNTH_AUD_ANCHOR
20220615,4.3000,3.7954,0.5046,SYNTH_AUD_ANCHOR
20220616,4.2900,3.8356,0.4544,SYNTH_AUD_ANCHOR
20220617,4.2600,3.7927,0.4673,SYNTH_AUD_ANCHOR
20220620,4.2100,3.7869,0.4231,SYNTH_AUD_ANCHOR
20220621,4.2200,3.7857,0.4343,SYNTH_AUD_ANCHOR
20220622,4.1600,3.7420,0.4180,SYNTH_AUD_ANCHOR
20220623,4.0000,3.6753,0.3247,SYNTH_AUD_ANCHOR
20220627,3.9100,3.6244,0.2856,SYNTH_AUD_ANCHOR
20220628,3.9200,3.6462,0.2738,SYNTH_AUD_ANCHOR
20220629,3.9400,3.6633,0.2767,SYNTH_AUD_ANCHOR
20220630,3.8800,3.6126,0.2674,SYNTH_AUD_ANCHOR
20220701,3.7100,3.5074,0.2026,SYNTH_AUD_ANCHOR
20220704,3.6500,3.4706,0.1794,SYNTH_AUD_ANCHOR
