DATE,Y10_FIT,RNY10,TP10,QUALITY
20210927,1.5057,1.628,-0.1223,ACM_K3_537m
20210928,1.5688,1.6095,-0.0408,ACM_K3_537m
20210929,1.5746,1.6001,-0.0255,ACM_K3_537m
20210930,1.542,1.5991,-0.057,ACM_K3_537m
20211001,1.4925,1.6052,-0.1127,ACM_K3_537m
20211004,1.508,1.6033,-0.0954,ACM_K3_537m
20211005,1.5579,1.5923,-0.0344,ACM_K3_537m
20211006,1.5492,1.6098,-0.0607,ACM_K3_537m
20211007,1.5991,1.6014,-0.0023,ACM_K3_537m
20211008,1.6361,1.5895,0.0466,ACM_K3_537m
20211012,1.627,1.614,0.013,ACM_K3_537m
20211013,1.6008,1.6409,-0.0402,ACM_K3_537m
20211014,1.5567,1.6442,-0.0875,ACM_K3_537m
20211015,1.6325,1.6559,-0.0233,ACM_K3_537m
20211018,1.6427,1.6666,-0.0239,ACM_K3_537m
20211019,1.6974,1.6336,0.0639,ACM_K3_537m
20211020,1.6967,1.6245,0.0722,ACM_K3_537m
20211021,1.7382,1.6475,0.0907,ACM_K3_537m
20211022,1.7123,1.6725,0.0398,ACM_K3_537m
20211025,1.6848,1.6759,0.0088,ACM_K3_537m
20211026,1.6805,1.6801,0.0004,ACM_K3_537m
20211027,1.5923,1.7176,-0.1254,ACM_K3_537m
20211028,1.6189,1.7184,-0.0995,ACM_K3_537m
20211029,1.6042,1.7184,-0.1142,ACM_K3_537m
20211101,1.6331,1.7184,-0.0854,ACM_K3_537m
20211102,1.6037,1.7032,-0.0995,ACM_K3_537m
20211103,1.6461,1.7034,-0.0573,ACM_K3_537m
20211104,1.5682,1.685,-0.1169,ACM_K3_537m
20211105,1.4857,1.6976,-0.2119,ACM_K3_537m
20211108,1.5573,1.716,-0.1587,ACM_K3_537m
20211109,1.5047,1.7083,-0.2036,ACM_K3_537m
20211110,1.6235,1.7397,-0.1162,ACM_K3_537m
20211112,1.6404,1.743,-0.1026,ACM_K3_537m
20211115,1.6865,1.7297,-0.0432,ACM_K3_537m
20211116,1.6904,1.732,-0.0417,ACM_K3_537m
20211117,1.6563,1.7342,-0.0779,ACM_K3_537m
