DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210708,-0.4080,-0.4080,-0.4080,-0.4080,0
20210709,-0.3422,-0.3422,-0.3422,-0.3422,0
20210712,-0.3419,-0.3419,-0.3419,-0.3419,0
20210713,-0.3204,-0.3204,-0.3204,-0.3204,0
20210714,-0.3777,-0.3777,-0.3777,-0.3777,0
20210715,-0.4687,-0.4687,-0.4687,-0.4687,0
20210716,-0.4591,-0.4591,-0.4591,-0.4591,0
20210719,-0.5828,-0.5828,-0.5828,-0.5828,0
20210720,-0.5083,-0.5083,-0.5083,-0.5083,0
20210721,-0.4313,-0.4313,-0.4313,-0.4313,0
20210722,-0.4622,-0.4622,-0.4622,-0.4622,0
20210723,-0.4214,-0.4214,-0.4214,-0.4214,0
20210726,-0.4348,-0.4348,-0.4348,-0.4348,0
20210727,-0.4846,-0.4846,-0.4846,-0.4846,0
20210728,-0.4888,-0.4888,-0.4888,-0.4888,0
20210729,-0.4480,-0.4480,-0.4480,-0.4480,0
20210730,-0.4798,-0.4798,-0.4798,-0.4798,0
20210802,-0.5254,-0.5254,-0.5254,-0.5254,0
20210803,-0.5367,-0.5367,-0.5367,-0.5367,0
20210804,-0.5717,-0.5717,-0.5717,-0.5717,0
20210805,-0.5549,-0.5549,-0.5549,-0.5549,0
20210806,-0.4684,-0.4684,-0.4684,-0.4684,0
20210809,-0.4547,-0.4547,-0.4547,-0.4547,0
20210810,-0.4529,-0.4529,-0.4529,-0.4529,0
20210811,-0.4364,-0.4364,-0.4364,-0.4364,0
20210812,-0.4306,-0.4306,-0.4306,-0.4306,0
20210813,-0.5263,-0.5263,-0.5263,-0.5263,0
20210816,-0.5384,-0.5384,-0.5384,-0.5384,0
20210817,-0.5460,-0.5460,-0.5460,-0.5460,0
20210818,-0.5551,-0.5551,-0.5551,-0.5551,0
20210819,-0.6026,-0.6026,-0.6026,-0.6026,0
20210820,-0.5924,-0.5924,-0.5924,-0.5924,0
20210823,-0.5906,-0.5906,-0.5906,-0.5906,0
20210824,-0.5499,-0.5499,-0.5499,-0.5499,0
20210825,-0.4759,-0.4759,-0.4759,-0.4759,0
20210826,-0.4890,-0.4890,-0.4890,-0.4890,0
20210827,-0.4966,-0.4966,-0.4966,-0.4966,0
20210830,-0.5050,-0.5050,-0.5050,-0.5050,0
20210831,-0.4754,-0.4754,-0.4754,-0.4754,0
20210901,-0.4861,-0.4861,-0.4861,-0.4861,0
20210902,-0.5087,-0.5087,-0.5087,-0.5087,0
20210903,-0.4643,-0.4643,-0.4643,-0.4643,0
20210907,-0.4156,-0.4156,-0.4156,-0.4156,0
20210908,-0.4705,-0.4705,-0.4705,-0.4705,0
20210909,-0.5159,-0.5159,-0.5159,-0.5159,0
20210910,-0.4687,-0.4687,-0.4687,-0.4687,0
20210913,-0.4972,-0.4972,-0.4972,-0.4972,0
20210914,-0.5638,-0.5638,-0.5638,-0.5638,0
20210915,-0.5426,-0.5426,-0.5426,-0.5426,0
20210916,-0.5099,-0.5099,-0.5099,-0.5099,0
20210917,-0.4818,-0.4818,-0.4818,-0.4818,0
20210920,-0.5496,-0.5496,-0.5496,-0.5496,0
20210921,-0.5262,-0.5262,-0.5262,-0.5262,0
20210922,-0.5849,-0.5849,-0.5849,-0.5849,0
20210923,-0.4855,-0.4855,-0.4855,-0.4855,0
20210924,-0.4146,-0.4146,-0.4146,-0.4146,0
20210927,-0.3998,-0.3998,-0.3998,-0.3998,0
20210928,-0.3116,-0.3116,-0.3116,-0.3116,0
20210929,-0.2742,-0.2742,-0.2742,-0.2742,0
20210930,-0.3005,-0.3005,-0.3005,-0.3005,0
20211001,-0.3215,-0.3215,-0.3215,-0.3215,0
20211004,-0.3203,-0.3203,-0.3203,-0.3203,0
20211005,-0.2704,-0.2704,-0.2704,-0.2704,0
20211006,-0.3003,-0.3003,-0.3003,-0.3003,0
20211007,-0.2525,-0.2525,-0.2525,-0.2525,0
20211008,-0.2205,-0.2205,-0.2205,-0.2205,0
20211012,-0.3099,-0.3099,-0.3099,-0.3099,0
20211013,-0.3855,-0.3855,-0.3855,-0.3855,0
20211014,-0.3981,-0.3981,-0.3981,-0.3981,0
20211015,-0.3867,-0.3867,-0.3867,-0.3867,0
20211018,-0.4240,-0.4240,-0.4240,-0.4240,0
20211019,-0.3139,-0.3139,-0.3139,-0.3139,0
20211020,-0.3083,-0.3083,-0.3083,-0.3083,0
20211021,-0.3191,-0.3191,-0.3191,-0.3191,0
20211022,-0.3784,-0.3784,-0.3784,-0.3784,0
20211025,-0.3620,-0.3620,-0.3620,-0.3620,0
20211026,-0.4024,-0.4024,-0.4024,-0.4024,0
20211027,-0.5300,-0.5300,-0.5300,-0.5300,0
20211028,-0.4801,-0.4801,-0.4801,-0.4801,0
20211029,-0.4680,-0.4680,-0.4680,-0.4680,0
20211101,-0.4560,-0.4560,-0.4560,-0.4560,0
20211102,-0.4640,-0.4640,-0.4640,-0.4640,0
20211103,-0.4470,-0.4470,-0.4470,-0.4470,0
20211104,-0.4716,-0.4716,-0.4716,-0.4716,0
20211105,-0.5637,-0.5637,-0.5637,-0.5637,0
20211108,-0.5495,-0.5495,-0.5495,-0.5495,0
20211109,-0.6028,-0.6028,-0.6028,-0.6028,0
20211110,-0.5738,-0.5738,-0.5738,-0.5738,0
20211112,-0.5593,-0.5593,-0.5593,-0.5593,0
20211115,-0.4970,-0.4970,-0.4970,-0.4970,0
20211116,-0.4851,-0.4851,-0.4851,-0.4851,0
20211117,-0.5077,-0.5077,-0.5077,-0.5077,0
20211118,-0.5247,-0.5247,-0.5247,-0.5247,0
20211119,-0.6064,-0.6064,-0.6064,-0.6064,0
20211122,-0.5450,-0.5450,-0.5450,-0.5450,0
20211123,-0.4887,-0.4887,-0.4887,-0.4887,0
20211124,-0.5510,-0.5510,-0.5510,-0.5510,0
20211126,-0.6626,-0.6626,-0.6626,-0.6626,0
20211129,-0.6105,-0.6105,-0.6105,-0.6105,0
20211130,-0.7089,-0.7089,-0.7089,-0.7089,0
20211201,-0.6460,-0.6460,-0.6460,-0.6460,0
20211202,-0.7551,-0.7551,-0.7551,-0.7551,0
20211203,-0.8380,-0.8380,-0.8380,-0.8380,0
20211206,-0.7769,-0.7769,-0.7769,-0.7769,0
20211207,-0.7603,-0.7603,-0.7603,-0.7603,0
20211208,-0.7333,-0.7333,-0.7333,-0.7333,0
20211209,-0.7779,-0.7779,-0.7779,-0.7779,0
20211210,-0.7842,-0.7842,-0.7842,-0.7842,0
20211213,-0.8465,-0.8465,-0.8465,-0.8465,0
20211214,-0.8324,-0.8324,-0.8324,-0.8324,0
20211215,-0.8056,-0.8056,-0.8056,-0.8056,0
20211216,-0.7231,-0.7231,-0.7231,-0.7231,0
20211217,-0.7724,-0.7724,-0.7724,-0.7724,0
20211220,-0.7314,-0.7314,-0.7314,-0.7314,0
20211221,-0.7128,-0.7128,-0.7128,-0.7128,0
20211222,-0.7400,-0.7400,-0.7400,-0.7400,0
20211223,-0.7053,-0.7053,-0.7053,-0.7053,0
20211227,-0.7442,-0.7442,-0.7442,-0.7442,0
20211228,-0.7283,-0.7283,-0.7283,-0.7283,0
20211229,-0.6329,-0.6329,-0.6329,-0.6329,0
20211230,-0.6633,-0.6633,-0.6633,-0.6633,0
20211231,-0.6657,-0.6657,-0.6657,-0.6657,0
20220103,-0.5590,-0.5590,-0.5590,-0.5590,0
20220104,-0.4853,-0.4853,-0.4853,-0.4853,0
20220105,-0.5057,-0.5057,-0.5057,-0.5057,0
20220106,-0.5314,-0.5314,-0.5314,-0.5314,0
20220107,-0.4655,-0.4655,-0.4655,-0.4655,0
20220110,-0.5042,-0.5042,-0.5042,-0.5042,0
20220111,-0.5224,-0.5224,-0.5224,-0.5224,0
20220112,-0.5404,-0.5404,-0.5404,-0.5404,0
20220113,-0.5606,-0.5606,-0.5606,-0.5606,0
20220114,-0.5277,-0.5277,-0.5277,-0.5277,0
20220118,-0.4834,-0.4834,-0.4834,-0.4834,0
20220119,-0.5184,-0.5184,-0.5184,-0.5184,0
20220120,-0.5371,-0.5371,-0.5371,-0.5371,0
20220121,-0.5881,-0.5881,-0.5881,-0.5881,0
20220124,-0.5375,-0.5375,-0.5375,-0.5375,0
20220125,-0.5406,-0.5406,-0.5406,-0.5406,0
20220126,-0.5581,-0.5581,-0.5581,-0.5581,0
20220127,-0.6591,-0.6591,-0.6591,-0.6591,0
20220128,-0.6731,-0.6731,-0.6731,-0.6731,0
20220131,-0.6448,-0.6448,-0.6448,-0.6448,0
20220201,-0.6394,-0.6394,-0.6394,-0.6394,0
20220202,-0.6630,-0.6630,-0.6630,-0.6630,0
20220203,-0.6414,-0.6414,-0.6414,-0.6414,0
20220204,-0.6232,-0.6232,-0.6232,-0.6232,0
