Date,Value,Source
1999-06-21,0.7,zirepo
1999-06-22,0.73,zirepo
1999-06-24,3.0,zirepo
1999-06-30,2.5,zirepo
1999-07-01,0.73,zirepo
1999-07-02,0.7,zirepo
1999-07-05,0.731828,zirepo
1999-07-07,0.75,zirepo
1999-07-12,0.75,zirepo
1999-07-13,0.492308,zirepo
1999-07-14,0.57541,zirepo
1999-07-15,0.611538,zirepo
1999-07-19,0.55,zirepo
1999-07-20,0.55,zirepo
1999-07-21,0.45,zirepo
1999-07-23,0.55,zirepo
1999-07-26,0.55,zirepo
1999-07-27,0.55,zirepo
1999-07-28,0.55,zirepo
1999-07-29,0.65,zirepo
1999-08-02,0.75,zirepo
1999-08-03,0.6,zirepo
1999-08-04,0.7,zirepo
1999-08-05,0.55,zirepo
1999-08-06,0.55,zirepo
1999-08-09,0.6,zirepo
1999-08-10,0.565625,zirepo
1999-08-11,0.4,zirepo
1999-08-12,0.5,zirepo
1999-08-13,0.695455,zirepo
1999-08-16,0.45,zirepo
1999-08-17,0.57,zirepo
1999-08-18,0.814286,zirepo
1999-08-19,0.83,zirepo
1999-08-20,0.868212,zirepo
1999-08-23,0.781707,zirepo
1999-08-24,0.634444,zirepo
1999-08-25,0.38,zirepo
1999-08-26,0.573411,zirepo
1999-08-27,0.589743,zirepo
1999-08-30,0.68,zirepo
1999-08-31,0.662654,zirepo
1999-09-01,0.583846,zirepo
1999-09-02,0.522973,zirepo
1999-09-03,0.5525,zirepo
1999-09-06,0.595674,zirepo
1999-09-07,0.614545,zirepo
1999-09-08,0.571429,zirepo
1999-09-10,0.705634,zirepo
1999-09-13,0.7,zirepo
1999-09-15,0.88,zirepo
1999-09-16,0.95,zirepo
1999-09-17,0.96,zirepo
1999-09-20,1.0,zirepo
1999-09-21,0.999661,zirepo
1999-09-23,0.83,zirepo
1999-09-24,0.809444,zirepo
1999-09-27,0.863889,zirepo
1999-09-28,1.0,zirepo
1999-09-29,0.96,zirepo
1999-09-30,1.603778,zirepo
1999-10-01,1.0,zirepo
1999-10-04,1.144043,zirepo
1999-10-05,1.098039,zirepo
1999-10-06,1.05,zirepo
1999-10-07,0.981389,zirepo
1999-10-08,0.995455,zirepo
1999-10-11,0.993478,zirepo
1999-10-12,0.95,zirepo
1999-10-13,0.994286,zirepo
1999-10-14,0.9,zirepo
1999-10-15,0.74,zirepo
1999-10-18,0.84,zirepo
1999-10-19,0.8,zirepo
1999-10-20,0.8,zirepo
1999-10-21,0.74,zirepo
1999-10-22,0.687698,zirepo
1999-10-25,0.663542,zirepo
1999-10-26,0.738327,zirepo
1999-10-27,0.783333,zirepo
1999-10-28,0.644214,zirepo
1999-10-29,0.823193,zirepo
1999-11-01,0.875049,zirepo
1999-11-02,0.9,zirepo
1999-11-03,0.892881,zirepo
1999-11-04,0.85577,zirepo
1999-11-05,0.956851,zirepo
1999-11-08,0.801325,zirepo
1999-11-09,0.797284,zirepo
1999-11-10,0.775289,zirepo
1999-11-11,0.765,zirepo
1999-11-12,0.894326,zirepo
1999-11-15,0.937719,zirepo
1999-11-16,0.964697,zirepo
1999-11-17,1.106407,zirepo
1999-11-18,1.272648,zirepo
1999-11-19,1.26,zirepo
1999-11-22,1.272018,zirepo
1999-11-23,1.283299,zirepo
1999-11-24,1.084893,zirepo
