Date,Value
1988-01-04,3.785
1988-01-11,3.816
1988-01-18,3.786
1988-01-25,3.548
1988-01-29,3.554
1988-02-01,3.54
1988-02-08,3.675
1988-02-15,3.524
1988-02-22,3.758
1988-02-29,3.498
1988-03-07,3.57
1988-03-14,3.57
1988-03-21,3.532
1988-03-28,3.634
1988-03-31,3.734
1988-04-05,3.729
1988-04-11,3.735
1988-04-18,3.584
1988-04-25,3.642
1988-04-29,3.594
1988-05-02,3.515
1988-05-09,3.784
1988-05-16,3.778
1988-05-24,3.786
1988-05-30,3.88
1988-05-31,3.909
1988-06-06,3.917
1988-06-13,3.819
1988-06-20,3.772
1988-06-27,3.797
1988-06-30,3.83
1988-07-04,3.835
1988-07-11,3.901
1988-07-18,4.014
1988-07-25,4.115
1988-07-29,4.212
1988-08-02,4.078
1988-08-08,4.05
1988-08-15,3.985
1988-08-22,4.038
1988-08-29,3.92
1988-08-31,3.981
1988-09-05,4.012
1988-09-12,3.958
1988-09-19,4.05
1988-09-26,4.023
1988-09-30,3.962
1988-10-03,4.019
1988-10-10,4.045
1988-10-17,4.105
1988-10-24,4.075
1988-10-31,4.025
1988-11-07,3.921
1988-11-14,3.85
1988-11-21,3.899
1988-11-28,4.054
1988-12-05,4.09
1988-12-12,4.017
1988-12-19,3.987
1988-12-27,4.027
1988-12-30,4.131
1989-01-03,4.135
1989-01-09,4.202
1989-01-16,4.604
1989-01-23,4.717
1989-01-30,4.788
1989-01-31,4.727
1989-02-06,4.872
1989-02-13,4.871
1989-02-20,4.967
1989-02-27,4.997
1989-02-28,5.03
1989-03-06,5.007
1989-03-13,5.008
1989-03-20,5.012
1989-03-28,5.063
1989-03-31,5.035
1989-04-03,5.114
1989-04-10,5.069
1989-04-17,5.048
1989-04-24,5.244
1989-04-28,5.231
1989-05-02,5.239
1989-05-08,5.47
1989-05-16,5.615
1989-05-22,5.611
1989-05-29,5.674
1989-05-31,5.639
1989-06-05,5.558
1989-06-12,5.456
1989-06-19,5.233
1989-06-26,5.21
1989-06-30,5.178
1989-07-03,5.172
1989-07-10,5.148
1989-07-17,5.094
1989-07-24,5.164
1989-07-31,5.153
1989-08-07,5.108
1989-08-14,5.155
1989-08-21,5.152
1989-08-28,5.247
1989-08-31,5.297
1989-09-04,5.279
1989-09-11,5.403
1989-09-18,5.494
1989-09-25,5.53
1989-09-29,5.625
1989-10-02,5.61
1989-10-09,5.74
1989-10-16,5.857
1989-10-23,5.824
1989-10-30,5.777
1989-10-31,5.743
1989-11-06,5.72
1989-11-13,5.654
1989-11-20,5.57
1989-11-27,5.689
1989-12-04,5.759
1989-12-11,5.72
1989-12-18,5.799
1989-12-27,5.875
1989-12-29,5.875
1990-01-03,5.884
1990-01-08,6.215
1990-01-15,6.29
1990-01-22,6.555
1990-01-29,6.436
1990-01-31,6.456
1990-02-05,6.509
1990-02-12,6.544
1990-02-19,6.507
1990-02-26,6.815
1990-02-28,6.918
1990-03-05,6.819
1990-03-12,6.663
1990-03-19,6.579
1990-03-26,6.778
1990-03-30,6.871
1990-04-02,6.981
1990-04-09,6.801
1990-04-17,6.793
1990-04-23,6.826
1990-04-30,6.881
1990-05-07,6.875
1990-05-14,6.749
1990-05-21,6.68
1990-05-28,6.546
1990-05-31,6.402
1990-06-05,6.434
1990-06-11,6.433
1990-06-18,6.397
1990-06-25,6.346
1990-06-29,6.323
1990-07-02,6.365
1990-07-09,6.299
1990-07-16,6.21
1990-07-23,6.203
1990-07-30,6.185
1990-07-31,6.143
1990-08-06,6.151
1990-08-13,6.28
1990-08-20,6.361
1990-08-27,6.638
1990-08-31,6.665
1990-09-03,6.585
1990-09-10,6.602
1990-09-17,6.633
1990-09-24,6.665
1990-09-28,6.598
1990-10-01,6.599
1990-10-08,6.657
1990-10-15,6.628
1990-10-22,6.548
1990-10-29,6.606
1990-10-31,6.595
1990-11-05,6.602
1990-11-12,6.575
1990-11-19,6.661
1990-11-26,6.696
1990-11-30,6.753
1990-12-03,6.802
1990-12-10,6.8
1990-12-17,6.794
1990-12-24,6.692
1990-12-28,6.728
1991-01-03,6.752
1991-01-07,6.609
1991-01-14,6.568
1991-01-21,6.42
1991-01-28,6.423
1991-01-31,6.44
1991-02-04,6.434
1991-02-11,6.322
1991-02-18,6.2
1991-02-25,6.261
1991-02-28,6.352
1991-03-04,6.338
1991-03-11,6.281
1991-03-18,6.31
1991-03-25,6.236
1991-03-28,6.231
1991-04-02,6.241
1991-04-08,6.221
1991-04-15,6.057
1991-04-22,6.129
1991-04-29,6.212
1991-04-30,6.237
1991-05-06,6.206
1991-05-13,6.175
1991-05-21,6.185
1991-05-27,6.09
1991-05-31,5.925
1991-06-03,5.933
1991-06-10,6.021
1991-06-17,6.033
1991-06-24,6.045
1991-06-28,6.039
1991-07-01,6.015
1991-07-08,6.019
1991-07-15,6.086
1991-07-22,6.178
1991-07-29,6.207
1991-07-31,6.204
1991-08-05,6.165
1991-08-12,6.285
1991-08-19,6.307
1991-08-26,6.297
1991-08-30,6.324
1991-09-02,6.346
1991-09-09,6.332
1991-09-16,6.301
1991-09-23,6.302
1991-09-30,6.353
1991-10-07,6.441
1991-10-14,6.462
1991-10-21,6.481
1991-10-28,6.802
1991-10-30,6.944
1991-11-04,6.86
1991-11-11,6.903
1991-11-18,6.732
1991-11-25,6.719
1991-11-29,6.701
1991-12-02,6.772
1991-12-09,6.654
1991-12-16,6.434
1991-12-23,6.381
1991-12-30,6.296
1991-12-31,6.349
1992-01-06,6.377
1992-01-13,6.148
1992-01-20,6.117
1992-01-27,6.167
1992-01-31,6.179
1992-02-03,6.18
1992-02-10,6.127
1992-02-17,6.164
1992-02-24,6.256
1992-02-28,6.288
1992-03-02,6.279
1992-03-09,6.322
1992-03-16,6.425
1992-03-23,6.417
1992-03-30,6.536
1992-04-06,6.71
1992-04-13,6.748
1992-04-21,6.678
1992-04-27,6.661
1992-04-30,6.705
1992-05-04,6.743
1992-05-11,6.669
1992-05-18,6.759
1992-05-25,6.822
1992-05-29,6.89
1992-06-01,6.927
1992-06-09,7.075
1992-06-15,7.099
1992-06-22,7.033
1992-06-29,7.136
1992-06-30,7.122
1992-07-06,7.112
1992-07-13,7.044
1992-07-20,7.071
1992-07-27,7.104
1992-07-31,7.143
1992-08-03,7.119
1992-08-10,6.999
1992-08-17,7.126
1992-08-24,7.155
1992-08-31,6.959
1992-09-07,6.939
1992-09-14,6.807
1992-09-21,6.543
1992-09-28,6.48
1992-09-30,6.478
1992-10-05,6.274
1992-10-12,6.183
1992-10-19,6.152
1992-10-26,5.999
1992-10-30,5.816
1992-11-02,5.913
1992-11-09,5.853
1992-11-16,5.894
1992-11-23,5.892
1992-11-30,5.867
1992-12-07,5.82
1992-12-14,5.675
1992-12-21,5.473
1992-12-28,5.435
1992-12-31,5.428
1993-01-04,5.465
1993-01-11,5.257
1993-01-18,5.292
1993-01-25,5.287
1993-01-29,5.195
1993-02-01,5.25
1993-02-08,5.061
1993-02-15,4.909
1993-02-22,4.819
1993-02-26,4.872
1993-03-01,4.696
1993-03-08,4.591
1993-03-15,4.554
1993-03-22,4.384
1993-03-29,4.572
1993-03-31,4.522
1993-04-05,4.403
1993-04-13,4.371
1993-04-19,4.361
1993-04-26,4.317
1993-04-30,4.473
1993-05-03,4.494
1993-05-10,4.458
1993-05-17,4.333
1993-05-24,4.349
1993-05-31,4.348
1993-06-01,4.348
1993-06-07,4.353
1993-06-14,4.363
1993-06-21,4.298
1993-06-28,4.299
1993-06-30,4.389
1993-07-05,4.337
1993-07-12,4.243
1993-07-19,4.19
1993-07-26,4.282
1993-07-30,4.376
1993-08-02,4.28
1993-08-09,4.206
1993-08-16,4.242
1993-08-23,4.217
1993-08-30,4.198
1993-08-31,4.335
1993-09-06,4.135
1993-09-13,4.144
1993-09-20,4.138
1993-09-27,4.145
1993-09-30,4.195
1993-10-04,4.058
1993-10-11,3.889
1993-10-18,3.808
1993-10-25,3.829
1993-10-29,3.993
1993-11-01,3.896
1993-11-08,3.865
1993-11-15,3.805
1993-11-22,3.833
1993-11-29,3.814
1993-11-30,3.927
1993-12-06,3.784
1993-12-13,3.749
1993-12-20,3.726
1993-12-27,3.703
1993-12-31,3.658
1994-01-03,3.672
1994-01-10,3.617
1994-01-17,3.676
1994-01-24,3.701
1994-01-31,3.733
1994-02-07,3.743
1994-02-14,3.771
1994-02-21,3.884
1994-02-28,3.969
1994-03-07,3.974
1994-03-14,3.95
1994-03-21,4.143
1994-03-28,4.173
1994-03-31,4.146
1994-04-05,4.141
1994-04-11,4.035
1994-04-18,4.069
1994-04-25,4.49
1994-05-02,4.36
1994-05-09,4.394
1994-05-16,4.252
1994-05-24,4.269
1994-05-30,4.334
1994-06-06,4.609
