# QUALITY=CLEAN | XAU ~ const+be+slope+log_nfa | Kalman TVP δ=0.995 | IC4w=0.1702 IC8w=0.2479 hit8w=0.5235 | var_ratio=2.402 HL=267.9w | cot_as_of=20260623 | generated by metals_fairvalue_g8.py v3
DATE,PX,FAIR,RESID,MDP_Z,MDP_ADJ,RISK_W,COT_MULT,SIGNAL,B_CONST,B_BE,B_SLOPE,B_LOG_NFA
20060110,545.7,471.0459,0.147068,,,0.0676,1.0,,-90.050318,0.662579,-0.012156,5.82071
20060117,554.3,506.022,0.09108,,,0.0822,1.0,,-86.231123,0.642355,-0.006306,5.585107
20060124,558.1,526.5925,0.058066,,,0.0907,1.0,,-84.297379,0.633212,-0.002839,5.465658
20060131,575.5,571.6481,0.00667,,,0.097,1.0,,-84.137703,0.632669,-0.002525,5.455768
20060207,554.8,591.861,-0.06471,,,0.1003,1.0,,-85.528931,0.636593,-0.005582,5.542049
20060214,548.9,564.0885,-0.027341,,,0.1029,1.0,,-86.184637,0.639301,-0.006937,5.582609
20060221,556.6,596.5859,-0.069422,,,0.1066,1.0,,-87.277527,0.642429,-0.008897,5.650336
20060228,563.9,594.6355,-0.053117,,,0.1079,1.0,,-88.006196,0.644296,-0.010204,5.695512
20060307,554.5,622.4135,-0.115584,,,0.1089,1.0,,-89.491748,0.643333,-0.015587,5.788348
20060314,553.0,593.3827,-0.070527,,,0.1097,1.0,,-90.459156,0.645151,-0.018296,5.848473
20060321,553.2,608.9054,-0.095989,,,0.1107,1.0,,-91.462383,0.648173,-0.020498,5.910592
20060328,567.0,617.7773,-0.085815,,,0.1112,1.0,,-92.12196,0.649878,-0.021507,5.951416
20060404,590.6,616.6005,-0.043128,,,0.1113,1.0,,-92.389791,0.650264,-0.021986,5.968023
20060411,599.4,652.9778,-0.08566,,,0.1113,1.0,,-92.564167,0.645461,-0.023691,5.979457
20060418,623.3,645.3121,-0.034752,,,0.111,1.0,,-92.642495,0.642727,-0.024829,5.9847
20060425,634.2,626.3802,0.012362,,,0.1108,1.0,,-92.590078,0.643552,-0.024327,5.981317
20060502,667.4,647.1717,0.030733,,,0.1106,1.0,,-92.648893,0.647981,-0.023083,5.984394
20060509,701.5,643.7033,0.085939,,,0.1104,1.0,,-92.843285,0.660782,-0.01948,5.994802
20060516,692.9,624.8381,0.103349,,,0.1101,1.0,,-92.953667,0.670057,-0.018297,6.00055
20060523,673.7,629.572,0.0677,,,0.1099,1.0,,-92.945974,0.674416,-0.017622,5.999553
20060530,660.5,630.4237,0.04656,,,0.1096,1.0,,-92.985297,0.677509,-0.017492,6.00165
20060606,634.7,623.1524,0.018317,,,0.1093,1.0,,-92.963705,0.677842,-0.017639,6.000292
20060613,566.8,621.0393,-0.091433,,,0.1091,1.0,,-93.212499,0.67927,-0.016096,6.015417
20060620,580.5,619.2015,-0.064586,,,0.1088,1.0,,-93.661993,0.679014,-0.017869,6.043497
20060627,584.4,625.092,-0.067358,,,0.1088,1.0,,-94.010137,0.678033,-0.019254,6.06533
20060704,616.0,637.6268,-0.034551,,,0.1086,1.0,,-93.822763,0.676158,-0.018156,6.053788
20060711,642.9,638.521,0.00679,,,0.1085,1.0,,-93.864626,0.676454,-0.018443,6.056384
20060718,629.5,651.8096,-0.034872,,,0.1084,1.0,,-93.677278,0.674652,-0.017332,6.044829
20060725,618.0,659.0082,-0.064293,,,0.1082,1.0,,-93.085402,0.670068,-0.014256,6.008267
20060801,658.8,653.9069,0.00741,,,0.1083,1.0,,-93.177621,0.670637,-0.014751,6.013979
20060808,657.3,691.1115,-0.050205,,,0.1087,1.0,,-92.053565,0.661816,-0.010892,5.944761
20060815,632.9,678.9244,-0.070242,,,0.1104,1.0,,-90.758188,0.653194,-0.00567,5.864724
20060822,634.0,678.6502,-0.068101,,,0.1115,1.0,,-89.397795,0.645672,0.000437,5.780455
