# QUALITY=PROXY_THIN_MARKET | NZ IIB [2025, 2030, 2035, 2040, 2050] interpolated to 10Y (RBNZ B2 local fetch; thin linker market) | generated by real_yields_g8.py
DATE,NOM10,REAL10,BE10
20180103,2.78,1.4398,1.3402
20180104,2.79,1.4399,1.3501
20180105,2.77,1.4547,1.3153
20180108,2.81,1.4605,1.3495
20180109,2.82,1.4706,1.3494
20180110,2.86,1.5061,1.3539
20180111,2.87,1.5262,1.3438
20180112,2.85,1.5217,1.3283
20180115,2.87,1.5421,1.3279
20180116,2.88,1.5422,1.3378
20180117,2.87,1.5223,1.3477
20180118,2.92,1.5278,1.3922
20180119,2.98,1.5726,1.4074
20180122,2.98,1.573,1.407
20180123,2.97,1.5631,1.4069
20180124,2.93,1.5085,1.4215
20180125,2.91,1.5286,1.3814
20180126,2.9,1.5287,1.3713
20180129,2.9,1.5291,1.3709
20180130,2.93,1.5292,1.4008
20180131,2.9,1.4993,1.4007
20180201,2.92,1.5494,1.3706
20180202,2.95,1.5543,1.3957
20180205,2.98,1.5546,1.4254
20180207,2.96,1.5196,1.4404
20180208,2.96,1.5384,1.4216
20180209,2.95,1.549,1.401
20180212,2.99,1.5895,1.4005
20180213,2.98,1.5844,1.3956
20180214,2.94,1.5846,1.3554
20180215,3.0,1.6347,1.3653
20180216,2.99,1.6,1.39
20180219,2.97,1.6005,1.3695
20180220,2.98,1.6206,1.3594
20180221,2.96,1.6008,1.3592
20180222,2.98,1.6158,1.3642
20180223,2.97,1.6159,1.3541
20180226,2.92,1.5864,1.3336
20180227,2.92,1.6114,1.3086
20180228,2.95,1.6416,1.3084
20180301,2.94,1.6417,1.2983
20180302,2.92,1.6119,1.3081
20180305,2.96,1.6124,1.3476
20180306,3.01,1.6525,1.3575
20180307,3.0,1.6427,1.3573
20180308,2.99,1.6329,1.3571
20180309,2.94,1.5979,1.3421
20180312,2.99,1.6583,1.3317
20180313,2.96,1.6236,1.3364
20180314,2.92,1.5837,1.3363
20180315,2.88,1.5339,1.3461
20180316,2.83,1.554,1.276
20180319,2.84,1.5595,1.2805
20180320,2.83,1.5647,1.2653
20180321,2.84,1.5649,1.2751
20180322,2.81,1.5551,1.2549
20180323,2.76,1.5153,1.2447
20180326,2.78,1.5158,1.2642
20180327,2.79,1.516,1.274
20180328,2.72,1.5111,1.2089
20180329,2.72,1.5313,1.1887
20180403,2.72,1.5322,1.1878
20180404,2.76,1.5525,1.2075
20180405,2.79,1.5827,1.2073
20180406,2.8,1.5829,1.2171
20180409,2.78,1.5634,1.2166
20180410,2.8,1.5636,1.2364
20180411,2.79,1.5638,1.2262
20180412,2.79,1.5591,1.2309
20180413,2.82,1.5842,1.2358
20180416,2.83,1.5847,1.2453
20180417,2.83,1.5901,1.2399
20180418,2.82,1.5803,1.2397
20180419,2.84,1.5905,1.2495
20180420,2.84,1.5707,1.2693
20180423,2.91,1.5812,1.3288
20180424,2.89,1.5766,1.3134
20180426,2.93,1.607,1.323
20180427,2.89,1.5872,1.3028
20180430,2.84,1.5678,1.2722
20180501,2.8,1.548,1.252
20180502,2.82,1.5882,1.2318
20180503,2.81,1.5684,1.2416
20180504,2.79,1.5486,1.2414
20180507,2.77,1.5392,1.2308
20180508,2.76,1.5294,1.2306
20180509,2.8,1.5396,1.2604
20180510,2.76,1.4998,1.2602
20180511,2.73,1.47,1.26
20180514,2.71,1.4553,1.2547
20180515,2.74,1.4901,1.2499
20180516,2.8,1.5097,1.2903
20180517,2.84,1.5299,1.3101
20180518,2.86,1.5401,1.3199
20180521,2.83,1.5106,1.3194
20180522,2.83,1.5108,1.3192
20180523,2.81,1.491,1.319
20180524,2.77,1.4704,1.2996
20180525,2.74,1.4699,1.2701
20180528,2.72,1.4704,1.2496
20180529,2.74,1.4505,1.2895
