DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210531,-0.7256,-0.7256,-0.7256,-0.7256,0
20210601,-0.7252,-0.7252,-0.7252,-0.7252,0
20210602,-0.7259,-0.7259,-0.7259,-0.7259,0
20210603,-0.7259,-0.7259,-0.7259,-0.7259,0
20210604,-0.7259,-0.7259,-0.7259,-0.7259,0
20210607,-0.7256,-0.7256,-0.7256,-0.7256,0
20210608,-0.7259,-0.7259,-0.7259,-0.7259,0
20210609,-0.7256,-0.7256,-0.7256,-0.7256,0
20210610,-0.7258,-0.7258,-0.7258,-0.7258,0
20210611,-0.7256,-0.7256,-0.7256,-0.7256,0
20210614,-0.7253,-0.7253,-0.7253,-0.7253,0
20210615,-0.7259,-0.7259,-0.7259,-0.7259,0
20210616,-0.7254,-0.7254,-0.7254,-0.7254,0
20210617,-0.7258,-0.7258,-0.7258,-0.7258,0
20210618,-0.7255,-0.7255,-0.7255,-0.7255,0
20210621,-0.7264,-0.7264,-0.7264,-0.7264,0
20210622,-0.7263,-0.7263,-0.7263,-0.7263,0
20210623,-0.7253,-0.7253,-0.7253,-0.7253,0
20210624,-0.7259,-0.7259,-0.7259,-0.7259,0
20210625,-0.7258,-0.7258,-0.7258,-0.7258,0
20210628,-0.7258,-0.7258,-0.7258,-0.7258,0
20210629,-0.7256,-0.7256,-0.7256,-0.7256,0
20210630,-0.7226,-0.7226,-0.7226,-0.7226,0
20210701,-0.7214,-0.7214,-0.7214,-0.7214,0
20210702,-0.7255,-0.7255,-0.7255,-0.7255,0
20210705,-0.7264,-0.7264,-0.7264,-0.7264,0
20210706,-0.7257,-0.7257,-0.7257,-0.7257,0
20210707,-0.7259,-0.7259,-0.7259,-0.7259,0
20210708,-0.7263,-0.7263,-0.7263,-0.7263,0
20210709,-0.7264,-0.7264,-0.7264,-0.7264,0
20210712,-0.7261,-0.7261,-0.7261,-0.7261,0
20210713,-0.7261,-0.7261,-0.7261,-0.7261,0
20210714,-0.7254,-0.7254,-0.7254,-0.7254,0
20210715,-0.7275,-0.7275,-0.7275,-0.7275,0
20210716,-0.7272,-0.7272,-0.7272,-0.7272,0
20210719,-0.7257,-0.7257,-0.7257,-0.7257,0
20210720,-0.7255,-0.7255,-0.7255,-0.7255,0
20210721,-0.7253,-0.7253,-0.7253,-0.7253,0
20210722,-0.7251,-0.7251,-0.7251,-0.7251,0
20210723,-0.7253,-0.7253,-0.7253,-0.7253,0
20210726,-0.7250,-0.7250,-0.7250,-0.7250,0
20210727,-0.7253,-0.7253,-0.7253,-0.7253,0
20210728,-0.7251,-0.7251,-0.7251,-0.7251,0
20210729,-0.7248,-0.7248,-0.7248,-0.7248,0
20210730,-0.7216,-0.7216,-0.7216,-0.7216,0
20210802,-0.7222,-0.7222,-0.7222,-0.7222,0
20210803,-0.7251,-0.7251,-0.7251,-0.7251,0
20210804,-0.7252,-0.7252,-0.7252,-0.7252,0
20210805,-0.7255,-0.7255,-0.7255,-0.7255,0
20210806,-0.7248,-0.7248,-0.7248,-0.7248,0
20210809,-0.7255,-0.7255,-0.7255,-0.7255,0
20210810,-0.7252,-0.7252,-0.7252,-0.7252,0
20210811,-0.7252,-0.7252,-0.7252,-0.7252,0
20210812,-0.7243,-0.7243,-0.7243,-0.7243,0
20210813,-0.7253,-0.7253,-0.7253,-0.7253,0
20210816,-0.7252,-0.7252,-0.7252,-0.7252,0
20210817,-0.7252,-0.7252,-0.7252,-0.7252,0
20210818,-0.7251,-0.7251,-0.7251,-0.7251,0
20210819,-0.7251,-0.7251,-0.7251,-0.7251,0
20210820,-0.7248,-0.7248,-0.7248,-0.7248,0
20210823,-0.7240,-0.7240,-0.7240,-0.7240,0
20210824,-0.7252,-0.7252,-0.7252,-0.7252,0
20210825,-0.7246,-0.7246,-0.7246,-0.7246,0
20210826,-0.7251,-0.7251,-0.7251,-0.7251,0
20210827,-0.7246,-0.7246,-0.7246,-0.7246,0
20210830,-0.7247,-0.7247,-0.7247,-0.7247,0
20210831,-0.7230,-0.7230,-0.7230,-0.7230,0
20210901,-0.7189,-0.7189,-0.7189,-0.7189,0
20210902,-0.7161,-0.7161,-0.7161,-0.7161,0
20210903,-0.7217,-0.7217,-0.7217,-0.7217,0
20210906,-0.7224,-0.7224,-0.7224,-0.7224,0
20210907,-0.7221,-0.7221,-0.7221,-0.7221,0
20210908,-0.7205,-0.7205,-0.7205,-0.7205,0
20210909,-0.7227,-0.7227,-0.7227,-0.7227,0
20210910,-0.7235,-0.7235,-0.7235,-0.7235,0
20210913,-0.7233,-0.7233,-0.7233,-0.7233,0
20210914,-0.7190,-0.7190,-0.7190,-0.7190,0
20210915,-0.7179,-0.7179,-0.7179,-0.7179,0
20210916,-0.7206,-0.7206,-0.7206,-0.7206,0
20210917,-0.7199,-0.7199,-0.7199,-0.7199,0
20210920,-0.7177,-0.7177,-0.7177,-0.7177,0
20210921,-0.7176,-0.7176,-0.7176,-0.7176,0
20210922,-0.7163,-0.7163,-0.7163,-0.7163,0
20210923,-0.7176,-0.7176,-0.7176,-0.7176,0
20210924,-0.7180,-0.7180,-0.7180,-0.7180,0
20210927,-0.7195,-0.7195,-0.7195,-0.7195,0
20210928,-0.7194,-0.7194,-0.7194,-0.7194,0
20210929,-0.7165,-0.7165,-0.7165,-0.7165,0
20210930,-0.6729,-0.6729,-0.6729,-0.6729,0
20211001,-0.7128,-0.7128,-0.7128,-0.7128,0
20211004,-0.7133,-0.7133,-0.7133,-0.7133,0
20211005,-0.7133,-0.7133,-0.7133,-0.7133,0
20211006,-0.7147,-0.7147,-0.7147,-0.7147,0
20211007,-0.7139,-0.7139,-0.7139,-0.7139,0
20211008,-0.7140,-0.7140,-0.7140,-0.7140,0
20211011,-0.7128,-0.7128,-0.7128,-0.7128,0
20211012,-0.7126,-0.7126,-0.7126,-0.7126,0
20211013,-0.7115,-0.7115,-0.7115,-0.7115,0
20211014,-0.7092,-0.7092,-0.7092,-0.7092,0
20211015,-0.7080,-0.7080,-0.7080,-0.7080,0
20211018,-0.7099,-0.7099,-0.7099,-0.7099,0
20211019,-0.7082,-0.7082,-0.7082,-0.7082,0
20211020,-0.7104,-0.7104,-0.7104,-0.7104,0
20211021,-0.7106,-0.7106,-0.7106,-0.7106,0
20211022,-0.7102,-0.7102,-0.7102,-0.7102,0
20211025,-0.7095,-0.7095,-0.7095,-0.7095,0
20211026,-0.7106,-0.7106,-0.7106,-0.7106,0
20211027,-0.7098,-0.7098,-0.7098,-0.7098,0
20211028,-0.7089,-0.7089,-0.7089,-0.7089,0
20211029,-0.6937,-0.6937,-0.6937,-0.6937,0
20211101,-0.7073,-0.7073,-0.7073,-0.7073,0
20211102,-0.7062,-0.7062,-0.7062,-0.7062,0
20211103,-0.7057,-0.7057,-0.7057,-0.7057,0
20211104,-0.7095,-0.7095,-0.7095,-0.7095,0
20211105,-0.7093,-0.7093,-0.7093,-0.7093,0
20211108,-0.7102,-0.7102,-0.7102,-0.7102,0
20211109,-0.7103,-0.7103,-0.7103,-0.7103,0
20211110,-0.7113,-0.7113,-0.7113,-0.7113,0
20211111,-0.7118,-0.7118,-0.7118,-0.7118,0
20211112,-0.7110,-0.7110,-0.7110,-0.7110,0
20211115,-0.7110,-0.7110,-0.7110,-0.7110,0
20211116,-0.7107,-0.7107,-0.7107,-0.7107,0
20211117,-0.7103,-0.7103,-0.7103,-0.7103,0
20211118,-0.7108,-0.7108,-0.7108,-0.7108,0
20211119,-0.7109,-0.7109,-0.7109,-0.7109,0
20211122,-0.7115,-0.7115,-0.7115,-0.7115,0
20211123,-0.7064,-0.7064,-0.7064,-0.7064,0
20211124,-0.7109,-0.7109,-0.7109,-0.7109,0
20211125,-0.7113,-0.7113,-0.7113,-0.7113,0
20211126,-0.7112,-0.7112,-0.7112,-0.7112,0
20211129,-0.7096,-0.7096,-0.7096,-0.7096,0
20211130,-0.6809,-0.6809,-0.6809,-0.6809,0
20211201,-0.7036,-0.7036,-0.7036,-0.7036,0
20211202,-0.7000,-0.7000,-0.7000,-0.7000,0
20211203,-0.6938,-0.6938,-0.6938,-0.6938,0
20211206,-0.6941,-0.6941,-0.6941,-0.6941,0
20211207,-0.6980,-0.6980,-0.6980,-0.6980,0
20211208,-0.6989,-0.6989,-0.6989,-0.6989,0
20211209,-0.7017,-0.7017,-0.7017,-0.7017,0
20211210,-0.7027,-0.7027,-0.7027,-0.7027,0
20211213,-0.7033,-0.7033,-0.7033,-0.7033,0
20211214,-0.7035,-0.7035,-0.7035,-0.7035,0
20211215,-0.7033,-0.7033,-0.7033,-0.7033,0
20211216,-0.7062,-0.7062,-0.7062,-0.7062,0
20211217,-0.7073,-0.7073,-0.7073,-0.7073,0
20211220,-0.7050,-0.7050,-0.7050,-0.7050,0
20211221,-0.7030,-0.7030,-0.7030,-0.7030,0
20211222,-0.7042,-0.7042,-0.7042,-0.7042,0
20211223,-0.7050,-0.7050,-0.7050,-0.7050,0
20211224,-0.7035,-0.7035,-0.7035,-0.7035,0
20211227,-0.7033,-0.7033,-0.7033,-0.7033,0
20211228,-0.7038,-0.7038,-0.7038,-0.7038,0
20211229,-0.7031,-0.7031,-0.7031,-0.7031,0
20211230,-0.6856,-0.6856,-0.6856,-0.6856,0
20211231,-0.6848,-0.6848,-0.6848,-0.6848,0
20220103,-0.7021,-0.7021,-0.7021,-0.7021,0
20220104,-0.7042,-0.7042,-0.7042,-0.7042,0
20220105,-0.7087,-0.7087,-0.7087,-0.7087,0
20220106,-0.7094,-0.7094,-0.7094,-0.7094,0
20220107,-0.7076,-0.7076,-0.7076,-0.7076,0
20220110,-0.7100,-0.7100,-0.7100,-0.7100,0
20220111,-0.7096,-0.7096,-0.7096,-0.7096,0
20220112,-0.7097,-0.7097,-0.7097,-0.7097,0
20220113,-0.7082,-0.7082,-0.7082,-0.7082,0
20220114,-0.7093,-0.7093,-0.7093,-0.7093,0
20220117,-0.7115,-0.7115,-0.7115,-0.7115,0
20220118,-0.7119,-0.7119,-0.7119,-0.7119,0
20220119,-0.7120,-0.7120,-0.7120,-0.7120,0
20220120,-0.7119,-0.7119,-0.7119,-0.7119,0
20220121,-0.7130,-0.7130,-0.7130,-0.7130,0
20220124,-0.7123,-0.7123,-0.7123,-0.7123,0
20220125,-0.7131,-0.7131,-0.7131,-0.7131,0
20220126,-0.7125,-0.7125,-0.7125,-0.7125,0
20220127,-0.7120,-0.7120,-0.7120,-0.7120,0
20220128,-0.7121,-0.7121,-0.7121,-0.7121,0
20220131,-0.6969,-0.6969,-0.6969,-0.6969,0
20220201,-0.7101,-0.7101,-0.7101,-0.7101,0
20220202,-0.7113,-0.7113,-0.7113,-0.7113,0
20220203,-0.7130,-0.7130,-0.7130,-0.7130,0
20220204,-0.7129,-0.7129,-0.7129,-0.7129,0
20220207,-0.7140,-0.7140,-0.7140,-0.7140,0
20220208,-0.7143,-0.7143,-0.7143,-0.7143,0
20220209,-0.7159,-0.7159,-0.7159,-0.7159,0
20220210,-0.7161,-0.7161,-0.7161,-0.7161,0
20220211,-0.7162,-0.7162,-0.7162,-0.7162,0
20220214,-0.7134,-0.7134,-0.7134,-0.7134,0
20220215,-0.7164,-0.7164,-0.7164,-0.7164,0
20220216,-0.7163,-0.7163,-0.7163,-0.7163,0
20220217,-0.7160,-0.7160,-0.7160,-0.7160,0
20220218,-0.7166,-0.7166,-0.7166,-0.7166,0
20220221,-0.7167,-0.7167,-0.7167,-0.7167,0
20220222,-0.7164,-0.7164,-0.7164,-0.7164,0
20220223,-0.7170,-0.7170,-0.7170,-0.7170,0
20220224,-0.7185,-0.7185,-0.7185,-0.7185,0
