session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-06-03,6J,FUT,6JM6,2026-06-15,,,0.006255000,3,388748
2026-06-03,6J,FUT,6JN6,2026-07-13,,,0.006269000,3,1187
2026-06-03,6J,FUT,6JQ6,2026-08-17,,,0.006286500,3,56
2026-06-03,6J,FUT,6JU6,2026-09-14,,,0.006300000,3,126621
2026-06-03,6J,FUT,6JV6,2026-10-19,,,0.006318000,3,
2026-06-03,6J,FUT,6JX6,2026-11-16,,,0.006332000,3,1
2026-06-03,6J,FUT,6JZ6,2026-12-14,,,0.006346000,3,1383
2026-06-03,6J,FUT,6JF7,2027-01-15,,,0.006363000,3,
2026-06-03,6J,FUT,6JG7,2027-02-12,,,0.006377500,3,
2026-06-03,6J,FUT,6JH7,2027-03-15,,,0.006393000,3,132
2026-06-03,6J,FUT,6JJ7,2027-04-19,,,0.006411000,3,
2026-06-03,6J,FUT,6JK7,2027-05-17,,,0.006425500,3,
2026-06-03,6J,FUT,6JM7,2027-06-14,,,0.006439500,3,17
2026-06-03,6J,FUT,6JN7,2027-07-19,,,0.006455000,3,
2026-06-03,6J,FUT,6JQ7,2027-08-16,,,0.006467500,3,
2026-06-03,6J,FUT,6JU7,2027-09-13,,,0.006480500,3,2
2026-06-03,6J,FUT,6JV7,2027-10-18,,,0.006496500,3,
2026-06-03,6J,FUT,6JX7,2027-11-15,,,0.006509000,3,
2026-06-03,6J,FUT,6JZ7,2027-12-13,,,0.006522000,3,0
2026-06-03,6J,FUT,6JF8,2028-01-14,,,0.006536500,3,
2026-06-03,6J,FUT,6JG8,2028-02-14,,,0.006551000,3,
2026-06-03,6J,FUT,6JH8,2028-03-13,,,0.006564000,3,
2026-06-03,6J,FUT,6JJ8,2028-04-17,,,0.006580500,3,
2026-06-03,6J,FUT,6JK8,2028-05-15,,,0.006593500,3,
2026-06-03,6J,FUT,6JM8,2028-06-16,,,0.006607500,3,
2026-06-03,6J,FUT,6JU8,2028-09-18,,,0.006640500,3,
2026-06-03,6J,FUT,6JZ8,2028-12-18,,,0.006673000,3,0
2026-06-03,6J,FUT,6JH9,2029-03-19,,,0.006705500,3,
2026-06-03,6J,FUT,6JM9,2029-06-15,,,0.006737500,3,
2026-06-03,6J,FUT,6JU9,2029-09-17,,,0.006772000,3,
2026-06-03,6J,FUT,6JZ9,2029-12-17,,,0.006806000,3,0
2026-06-03,6J,FUT,6JH0,2030-03-18,,,0.006840000,3,
2026-06-03,6J,FUT,6JM0,2030-06-17,,,0.006874000,3,
2026-06-03,6J,FUT,6JU0,2030-09-16,,,0.006909000,3,
2026-06-03,6J,FUT,6JZ0,2030-12-16,,,0.006944000,3,0
2026-06-03,6J,FUT,6JH1,2031-03-17,,,0.006979500,3,
