session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-06-03,CAU,OPT,CAUM6 C5600,2026-06-05,C,0.56,0.160000000,3,
2026-06-03,CAU,OPT,CAUM6 C5700,2026-06-05,C,0.57,0.150000000,3,
2026-06-03,CAU,OPT,CAUM6 C5800,2026-06-05,C,0.58,0.140000000,3,
2026-06-03,CAU,OPT,CAUM6 C5900,2026-06-05,C,0.59,0.130000000,3,
2026-06-03,CAU,OPT,CAUM6 C6000,2026-06-05,C,0.6,0.120000000,3,
2026-06-03,CAU,OPT,CAUM6 C6100,2026-06-05,C,0.61,0.110000000,3,
2026-06-03,CAU,OPT,CAUM6 C6200,2026-06-05,C,0.62,0.100000000,3,
2026-06-03,CAU,OPT,CAUM6 C6300,2026-06-05,C,0.63,0.090000000,3,
2026-06-03,CAU,OPT,CAUM6 C6400,2026-06-05,C,0.64,0.080000000,3,
2026-06-03,CAU,OPT,CAUM6 C6500,2026-06-05,C,0.65,0.070000000,3,
2026-06-03,CAU,OPT,CAUM6 C6550,2026-06-05,C,0.655,0.065000000,3,
2026-06-03,CAU,OPT,CAUM6 C6600,2026-06-05,C,0.66,0.060000000,3,
2026-06-03,CAU,OPT,CAUM6 C6650,2026-06-05,C,0.665,0.055000000,3,
2026-06-03,CAU,OPT,CAUM6 C6700,2026-06-05,C,0.67,0.050000000,3,
2026-06-03,CAU,OPT,CAUM6 C6750,2026-06-05,C,0.675,0.045000000,3,
2026-06-03,CAU,OPT,CAUM6 C6800,2026-06-05,C,0.68,0.040000000,3,
2026-06-03,CAU,OPT,CAUM6 C6850,2026-06-05,C,0.685,0.035000000,3,
2026-06-03,CAU,OPT,CAUM6 C6900,2026-06-05,C,0.69,0.030000000,3,
2026-06-03,CAU,OPT,CAUM6 C6950,2026-06-05,C,0.695,0.025000000,3,
2026-06-03,CAU,OPT,CAUM6 C7000,2026-06-05,C,0.7,0.020000000,3,
2026-06-03,CAU,OPT,CAUM6 C7050,2026-06-05,C,0.705,0.015000000,3,
2026-06-03,CAU,OPT,CAUM6 C7100,2026-06-05,C,0.71,0.010000000,3,
2026-06-03,CAU,OPT,CAUM6 C7130,2026-06-05,C,0.713,0.007000000,3,
