session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-06-26,GBU,OPT,GBUN6 C11000,2026-07-02,C,1.1,0.219800000,3,
2026-06-26,GBU,OPT,GBUN6 C11100,2026-07-02,C,1.11,0.209800000,3,
2026-06-26,GBU,OPT,GBUN6 C11200,2026-07-02,C,1.12,0.199800000,3,
2026-06-26,GBU,OPT,GBUN6 C11300,2026-07-02,C,1.13,0.189800000,3,
2026-06-26,GBU,OPT,GBUN6 C11400,2026-07-02,C,1.14,0.179800000,3,
2026-06-26,GBU,OPT,GBUN6 C11500,2026-07-02,C,1.15,0.169800000,3,
2026-06-26,GBU,OPT,GBUN6 C11600,2026-07-02,C,1.16,0.159800000,3,
2026-06-26,GBU,OPT,GBUN6 C11700,2026-07-02,C,1.17,0.149800000,3,
2026-06-26,GBU,OPT,GBUN6 C11800,2026-07-02,C,1.18,0.139800000,3,
2026-06-26,GBU,OPT,GBUN6 C11900,2026-07-02,C,1.19,0.129800000,3,
2026-06-26,GBU,OPT,GBUN6 C12000,2026-07-02,C,1.2,0.119800000,3,0
2026-06-26,GBU,OPT,GBUN6 C12100,2026-07-02,C,1.21,0.109800000,3,0
2026-06-26,GBU,OPT,GBUN6 C12200,2026-07-02,C,1.22,0.099800000,3,
2026-06-26,GBU,OPT,GBUN6 C12250,2026-07-02,C,1.225,0.094800000,3,
2026-06-26,GBU,OPT,GBUN6 C12300,2026-07-02,C,1.23,0.089800000,3,
2026-06-26,GBU,OPT,GBUN6 C12350,2026-07-02,C,1.235,0.084800000,3,
2026-06-26,GBU,OPT,GBUN6 C12400,2026-07-02,C,1.24,0.079900000,3,
2026-06-26,GBU,OPT,GBUN6 C12450,2026-07-02,C,1.245,0.074900000,3,
2026-06-26,GBU,OPT,GBUN6 C12500,2026-07-02,C,1.25,0.069900000,3,
2026-06-26,GBU,OPT,GBUN6 C12550,2026-07-02,C,1.255,0.064900000,3,
2026-06-26,GBU,OPT,GBUN6 C12600,2026-07-02,C,1.26,0.059900000,3,1
2026-06-26,GBU,OPT,GBUN6 C12650,2026-07-02,C,1.265,0.054900000,3,
2026-06-26,GBU,OPT,GBUN6 C12700,2026-07-02,C,1.27,0.049900000,3,
2026-06-26,GBU,OPT,GBUN6 C12750,2026-07-02,C,1.275,0.044900000,3,
2026-06-26,GBU,OPT,GBUN6 C12800,2026-07-02,C,1.28,0.039900000,3,
2026-06-26,GBU,OPT,GBUN6 C12850,2026-07-02,C,1.285,0.034900000,3,
2026-06-26,GBU,OPT,GBUN6 C12900,2026-07-02,C,1.29,0.030000000,3,
2026-06-26,GBU,OPT,GBUN6 C12950,2026-07-02,C,1.295,0.025100000,3,
2026-06-26,GBU,OPT,GBUN6 C12975,2026-07-02,C,1.2975,0.022600000,3,
2026-06-26,GBU,OPT,GBUN6 C13000,2026-07-02,C,1.3,0.020200000,3,
2026-06-26,GBU,OPT,GBUN6 C13025,2026-07-02,C,1.3025,0.017900000,3,
2026-06-26,GBU,OPT,GBUN6 C13050,2026-07-02,C,1.305,0.015600000,3,
2026-06-26,GBU,OPT,GBUN6 C13075,2026-07-02,C,1.3075,0.013400000,3,1
2026-06-26,GBU,OPT,GBUN6 C13100,2026-07-02,C,1.31,0.011300000,3,10
2026-06-26,GBU,OPT,GBUN6 C13125,2026-07-02,C,1.3125,0.009300000,3,
2026-06-26,GBU,OPT,GBUN6 C13150,2026-07-02,C,1.315,0.007500000,3,19
2026-06-26,GBU,OPT,GBUN6 C13175,2026-07-02,C,1.3175,0.005800000,3,2
2026-06-26,GBU,OPT,GBUN6 C13200,2026-07-02,C,1.32,0.004400000,3,34
2026-06-26,GBU,OPT,GBUN6 C13225,2026-07-02,C,1.3225,0.003200000,3,11
2026-06-26,GBU,OPT,GBUN6 C13250,2026-07-02,C,1.325,0.002200000,3,67
2026-06-26,GBU,OPT,GBUN6 C13275,2026-07-02,C,1.3275,0.001500000,3,98
2026-06-26,GBU,OPT,GBUN6 C13300,2026-07-02,C,1.33,0.001000000,3,127
2026-06-26,GBU,OPT,GBUN6 C13325,2026-07-02,C,1.3325,0.000600000,3,78
2026-06-26,GBU,OPT,GBUN6 C13350,2026-07-02,C,1.335,0.000400000,3,497
2026-06-26,GBU,OPT,GBUN6 C13375,2026-07-02,C,1.3375,0.000200000,3,8
2026-06-26,GBU,OPT,GBUN6 C13400,2026-07-02,C,1.34,0.000100000,3,598
2026-06-26,GBU,OPT,GBUN6 C13425,2026-07-02,C,1.3425,0.000100000,3,307
