session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-08-14,6C,FUT,6CQ6,2026-08-18,,,0.720700000,3,124
2026-08-14,6C,FUT,6CU6,2026-09-15,,,0.721550000,3,357693
2026-08-14,6C,FUT,6CV6,2026-10-20,,,0.722650000,3,73
2026-08-14,6C,FUT,6CX6,2026-11-17,,,0.723550000,3,
2026-08-14,6C,FUT,6CZ6,2026-12-15,,,0.724500000,3,7629
2026-08-14,6C,FUT,6CF7,2027-01-19,,,0.725600000,3,
2026-08-14,6C,FUT,6CG7,2027-02-16,,,0.726500000,3,
2026-08-14,6C,FUT,6CH7,2027-03-16,,,0.727350000,3,1303
2026-08-14,6C,FUT,6CJ7,2027-04-20,,,0.728350000,3,
2026-08-14,6C,FUT,6CK7,2027-05-18,,,0.729150000,3,
2026-08-14,6C,FUT,6CM7,2027-06-15,,,0.729850000,3,340
2026-08-14,6C,FUT,6CN7,2027-07-20,,,0.730750000,3,
2026-08-14,6C,FUT,6CQ7,2027-08-17,,,0.731500000,3,
2026-08-14,6C,FUT,6CU7,2027-09-14,,,0.732200000,3,17
2026-08-14,6C,FUT,6CV7,2027-10-19,,,0.732750000,3,
2026-08-14,6C,FUT,6CX7,2027-11-16,,,0.733350000,3,
2026-08-14,6C,FUT,6CZ7,2027-12-14,,,0.733900000,3,5
2026-08-14,6C,FUT,6CF8,2028-01-18,,,0.734650000,3,
2026-08-14,6C,FUT,6CG8,2028-02-15,,,0.735200000,3,
2026-08-14,6C,FUT,6CH8,2028-03-14,,,0.735800000,3,
2026-08-14,6C,FUT,6CJ8,2028-04-18,,,0.736500000,3,
2026-08-14,6C,FUT,6CK8,2028-05-16,,,0.737050000,3,
2026-08-14,6C,FUT,6CM8,2028-06-20,,,0.737800000,3,
2026-08-14,6C,FUT,6CN8,2028-07-18,,,0.738350000,3,
2026-08-14,6C,FUT,6CU8,2028-09-19,,,0.739550000,3,
2026-08-14,6C,FUT,6CZ8,2028-12-19,,,0.741100000,3,
2026-08-14,6C,FUT,6CH9,2029-03-20,,,0.742650000,3,
2026-08-14,6C,FUT,6CM9,2029-06-18,,,0.744200000,3,
2026-08-14,6C,FUT,6CU9,2029-09-18,,,0.745750000,3,
2026-08-14,6C,FUT,6CZ9,2029-12-18,,,0.747300000,3,
2026-08-14,6C,FUT,6CH0,2030-03-19,,,0.748900000,3,
2026-08-14,6C,FUT,6CM0,2030-06-18,,,0.750450000,3,
2026-08-14,6C,FUT,6CU0,2030-09-17,,,0.752050000,3,
2026-08-14,6C,FUT,6CZ0,2030-12-17,,,0.753650000,3,
2026-08-14,6C,FUT,6CH1,2031-03-18,,,0.755250000,3,
2026-08-14,6C,FUT,6CM1,2031-06-17,,,0.756850000,3,
