session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-09-09,JPU,OPT,JPUV6 C0470,2026-10-09,C,0.0047,0.001853000,3,
2026-09-09,JPU,OPT,JPUV6 C0480,2026-10-09,C,0.0048,0.001754000,3,
2026-09-09,JPU,OPT,JPUV6 C0490,2026-10-09,C,0.0049,0.001654000,3,
2026-09-09,JPU,OPT,JPUV6 C0500,2026-10-09,C,0.005,0.001554000,3,
2026-09-09,JPU,OPT,JPUV6 C0510,2026-10-09,C,0.0051,0.001455000,3,
2026-09-09,JPU,OPT,JPUV6 C0520,2026-10-09,C,0.0052,0.001355000,3,
2026-09-09,JPU,OPT,JPUV6 C0530,2026-10-09,C,0.0053,0.001255000,3,
2026-09-09,JPU,OPT,JPUV6 C0540,2026-10-09,C,0.0054,0.001155000,3,
2026-09-09,JPU,OPT,JPUV6 C0550,2026-10-09,C,0.0055,0.001056000,3,
2026-09-09,JPU,OPT,JPUV6 C0560,2026-10-09,C,0.0056,0.000956000,3,
2026-09-09,JPU,OPT,JPUV6 C0565,2026-10-09,C,0.00565,0.000906000,3,
2026-09-09,JPU,OPT,JPUV6 C0570,2026-10-09,C,0.0057,0.000856000,3,
2026-09-09,JPU,OPT,JPUV6 C0575,2026-10-09,C,0.00575,0.000807000,3,
2026-09-09,JPU,OPT,JPUV6 C0580,2026-10-09,C,0.0058,0.000757000,3,
2026-09-09,JPU,OPT,JPUV6 C0585,2026-10-09,C,0.00585,0.000707000,3,
2026-09-09,JPU,OPT,JPUV6 C0590,2026-10-09,C,0.0059,0.000657000,3,
2026-09-09,JPU,OPT,JPUV6 C0595,2026-10-09,C,0.00595,0.000607000,3,
2026-09-09,JPU,OPT,JPUV6 C0600,2026-10-09,C,0.006,0.000557000,3,
2026-09-09,JPU,OPT,JPUV6 C0605,2026-10-09,C,0.00605,0.000508000,3,
2026-09-09,JPU,OPT,JPUV6 C0610,2026-10-09,C,0.0061,0.000458000,3,
2026-09-09,JPU,OPT,JPUV6 C0615,2026-10-09,C,0.00615,0.000408000,3,16
2026-09-09,JPU,OPT,JPUV6 C0620,2026-10-09,C,0.0062,0.000360000,3,3099
2026-09-09,JPU,OPT,JPUV6 C0625,2026-10-09,C,0.00625,0.000311000,3,209
2026-09-09,JPU,OPT,JPUV6 C0627,2026-10-09,C,0.006275,0.000286000,3,
2026-09-09,JPU,OPT,JPUV6 C0630,2026-10-09,C,0.0063,0.000263000,3,1174
2026-09-09,JPU,OPT,JPUV6 C0632,2026-10-09,C,0.006325,0.000240000,3,
2026-09-09,JPU,OPT,JPUV6 C0635,2026-10-09,C,0.00635,0.000217000,3,522
2026-09-09,JPU,OPT,JPUV6 C0637,2026-10-09,C,0.006375,0.000196000,3,
2026-09-09,JPU,OPT,JPUV6 C0640,2026-10-09,C,0.0064,0.000175000,3,1778
2026-09-09,JPU,OPT,JPUV6 C0642,2026-10-09,C,0.006425,0.000156000,3,
2026-09-09,JPU,OPT,JPUV6 C0645,2026-10-09,C,0.00645,0.000138000,3,1093
2026-09-09,JPU,OPT,JPUV6 C0647,2026-10-09,C,0.006475,0.000121000,3,
2026-09-09,JPU,OPT,JPUV6 C0650,2026-10-09,C,0.0065,0.000107000,3,3294
2026-09-09,JPU,OPT,JPUV6 C0652,2026-10-09,C,0.006525,0.000093000,3,107
2026-09-09,JPU,OPT,JPUV6 C0655,2026-10-09,C,0.00655,0.000082000,3,1351
2026-09-09,JPU,OPT,JPUV6 C0657,2026-10-09,C,0.006575,0.000071000,3,1
2026-09-09,JPU,OPT,JPUV6 C0660,2026-10-09,C,0.0066,0.000062000,3,2132
2026-09-09,JPU,OPT,JPUV6 C0662,2026-10-09,C,0.006625,0.000054000,3,4
2026-09-09,JPU,OPT,JPUV6 C0665,2026-10-09,C,0.00665,0.000047000,3,1496
2026-09-09,JPU,OPT,JPUV6 C0667,2026-10-09,C,0.006675,0.000041000,3,
2026-09-09,JPU,OPT,JPUV6 C0670,2026-10-09,C,0.0067,0.000035000,3,1632
2026-09-09,JPU,OPT,JPUV6 C0672,2026-10-09,C,0.006725,0.000030000,3,
2026-09-09,JPU,OPT,JPUV6 C0675,2026-10-09,C,0.00675,0.000026000,3,79
2026-09-09,JPU,OPT,JPUV6 C0680,2026-10-09,C,0.0068,0.000019000,3,1118
2026-09-09,JPU,OPT,JPUV6 C0685,2026-10-09,C,0.00685,0.000014000,3,239
2026-09-09,JPU,OPT,JPUV6 C0690,2026-10-09,C,0.0069,0.000010000,3,223
2026-09-09,JPU,OPT,JPUV6 C0695,2026-10-09,C,0.00695,0.000008000,3,60
2026-09-09,JPU,OPT,JPUV6 C0700,2026-10-09,C,0.007,0.000006000,3,155
2026-09-09,JPU,OPT,JPUV6 C0705,2026-10-09,C,0.00705,0.000004500,3,2
2026-09-09,JPU,OPT,JPUV6 C0710,2026-10-09,C,0.0071,0.000003500,3,333
2026-09-09,JPU,OPT,JPUV6 C0715,2026-10-09,C,0.00715,0.000003000,3,
2026-09-09,JPU,OPT,JPUV6 C0720,2026-10-09,C,0.0072,0.000002000,3,55
2026-09-09,JPU,OPT,JPUV6 C0725,2026-10-09,C,0.00725,0.000001500,3,10
2026-09-09,JPU,OPT,JPUV6 C0730,2026-10-09,C,0.0073,0.000001000,3,
2026-09-09,JPU,OPT,JPUV6 C0735,2026-10-09,C,0.00735,0.000000500,3,
