session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-09-14,EUU,OPT,EUUV6 C1000,2026-10-09,C,1,0.159400000,3,
2026-09-14,EUU,OPT,EUUV6 C1010,2026-10-09,C,1.01,0.149500000,3,
2026-09-14,EUU,OPT,EUUV6 C1020,2026-10-09,C,1.02,0.139500000,3,
2026-09-14,EUU,OPT,EUUV6 C1030,2026-10-09,C,1.03,0.129500000,3,
2026-09-14,EUU,OPT,EUUV6 C1040,2026-10-09,C,1.04,0.119500000,3,
2026-09-14,EUU,OPT,EUUV6 C1050,2026-10-09,C,1.05,0.109600000,3,
2026-09-14,EUU,OPT,EUUV6 C1060,2026-10-09,C,1.06,0.099600000,3,1
2026-09-14,EUU,OPT,EUUV6 C1070,2026-10-09,C,1.07,0.089600000,3,1
2026-09-14,EUU,OPT,EUUV6 C1080,2026-10-09,C,1.08,0.079600000,3,
2026-09-14,EUU,OPT,EUUV6 C1090,2026-10-09,C,1.09,0.069700000,3,
2026-09-14,EUU,OPT,EUUV6 C1095,2026-10-09,C,1.095,0.064700000,3,
2026-09-14,EUU,OPT,EUUV6 C1100,2026-10-09,C,1.1,0.059800000,3,
2026-09-14,EUU,OPT,EUUV6 C1105,2026-10-09,C,1.105,0.054800000,3,
2026-09-14,EUU,OPT,EUUV6 C1110,2026-10-09,C,1.11,0.049800000,3,
2026-09-14,EUU,OPT,EUUV6 C1115,2026-10-09,C,1.115,0.044900000,3,
2026-09-14,EUU,OPT,EUUV6 C1120,2026-10-09,C,1.12,0.039900000,3,
2026-09-14,EUU,OPT,EUUV6 C1125,2026-10-09,C,1.125,0.035000000,3,52
2026-09-14,EUU,OPT,EUUV6 C1130,2026-10-09,C,1.13,0.030200000,3,3
2026-09-14,EUU,OPT,EUUV6 C1135,2026-10-09,C,1.135,0.025500000,3,160
2026-09-14,EUU,OPT,EUUV6 C1140,2026-10-09,C,1.14,0.020900000,3,72
2026-09-14,EUU,OPT,EUUV6 C1142,2026-10-09,C,1.1425,0.000000000,1,
2026-09-14,EUU,OPT,EUUV6 C1145,2026-10-09,C,1.145,0.016500000,3,1548
2026-09-14,EUU,OPT,EUUV6 C1147,2026-10-09,C,1.1475,0.014500000,3,
2026-09-14,EUU,OPT,EUUV6 C1150,2026-10-09,C,1.15,0.012500000,3,2184
2026-09-14,EUU,OPT,EUUV6 C1152,2026-10-09,C,1.1525,0.010700000,3,
2026-09-14,EUU,OPT,EUUV6 C1155,2026-10-09,C,1.155,0.009000000,3,2023
2026-09-14,EUU,OPT,EUUV6 C1157,2026-10-09,C,1.1575,0.007500000,3,29
2026-09-14,EUU,OPT,EUUV6 C1160,2026-10-09,C,1.16,0.006100000,3,1377
2026-09-14,EUU,OPT,EUUV6 C1162,2026-10-09,C,1.1625,0.004900000,3,18
2026-09-14,EUU,OPT,EUUV6 C1165,2026-10-09,C,1.165,0.003900000,3,1184
2026-09-14,EUU,OPT,EUUV6 C1167,2026-10-09,C,1.1675,0.003100000,3,533
2026-09-14,EUU,OPT,EUUV6 C1170,2026-10-09,C,1.17,0.002400000,3,2198
2026-09-14,EUU,OPT,EUUV6 C1172,2026-10-09,C,1.1725,0.001900000,3,117
2026-09-14,EUU,OPT,EUUV6 C1175,2026-10-09,C,1.175,0.001500000,3,2670
2026-09-14,EUU,OPT,EUUV6 C1177,2026-10-09,C,1.1775,0.001100000,3,615
2026-09-14,EUU,OPT,EUUV6 C1180,2026-10-09,C,1.18,0.000900000,3,1711
2026-09-14,EUU,OPT,EUUV6 C1182,2026-10-09,C,1.1825,0.000700000,3,35
2026-09-14,EUU,OPT,EUUV6 C1185,2026-10-09,C,1.185,0.000500000,3,1458
2026-09-14,EUU,OPT,EUUV6 C1187,2026-10-09,C,1.1875,0.000400000,3,17
