session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-09-15,ADU,OPT,ADUV6 C0500,2026-10-09,C,0.5,0.211700000,3,
2026-09-15,ADU,OPT,ADUV6 C0510,2026-10-09,C,0.51,0.201700000,3,
2026-09-15,ADU,OPT,ADUV6 C0520,2026-10-09,C,0.52,0.191700000,3,
2026-09-15,ADU,OPT,ADUV6 C0530,2026-10-09,C,0.53,0.181700000,3,
2026-09-15,ADU,OPT,ADUV6 C0540,2026-10-09,C,0.54,0.171800000,3,
2026-09-15,ADU,OPT,ADUV6 C0550,2026-10-09,C,0.55,0.161800000,3,
2026-09-15,ADU,OPT,ADUV6 C0560,2026-10-09,C,0.56,0.151800000,3,
2026-09-15,ADU,OPT,ADUV6 C0570,2026-10-09,C,0.57,0.141800000,3,179
2026-09-15,ADU,OPT,ADUV6 C0580,2026-10-09,C,0.58,0.131900000,3,80
2026-09-15,ADU,OPT,ADUV6 C0590,2026-10-09,C,0.59,0.121900000,3,
2026-09-15,ADU,OPT,ADUV6 C0595,2026-10-09,C,0.595,0.116900000,3,
2026-09-15,ADU,OPT,ADUV6 C0600,2026-10-09,C,0.6,0.111900000,3,
2026-09-15,ADU,OPT,ADUV6 C0605,2026-10-09,C,0.605,0.106900000,3,
2026-09-15,ADU,OPT,ADUV6 C0610,2026-10-09,C,0.61,0.101900000,3,
2026-09-15,ADU,OPT,ADUV6 C0615,2026-10-09,C,0.615,0.097000000,3,
2026-09-15,ADU,OPT,ADUV6 C0620,2026-10-09,C,0.62,0.092000000,3,
2026-09-15,ADU,OPT,ADUV6 C0625,2026-10-09,C,0.625,0.087000000,3,
2026-09-15,ADU,OPT,ADUV6 C0630,2026-10-09,C,0.63,0.082000000,3,
2026-09-15,ADU,OPT,ADUV6 C0635,2026-10-09,C,0.635,0.077000000,3,
2026-09-15,ADU,OPT,ADUV6 C0640,2026-10-09,C,0.64,0.072000000,3,
2026-09-15,ADU,OPT,ADUV6 C0645,2026-10-09,C,0.645,0.067000000,3,
2026-09-15,ADU,OPT,ADUV6 C0650,2026-10-09,C,0.65,0.062000000,3,
2026-09-15,ADU,OPT,ADUV6 C0655,2026-10-09,C,0.655,0.057100000,3,
2026-09-15,ADU,OPT,ADUV6 C0660,2026-10-09,C,0.66,0.052100000,3,1
