session,root,type,symbol,expiry,right,strike,settle,settle_flag,oi
2026-09-24,6S,FUT,6SZ6,2026-12-14,,,1.218800000,3,133108
2026-09-24,6S,FUT,6SH7,2027-03-15,,,1.232650000,3,318
2026-09-24,6S,FUT,6SM7,2027-06-14,,,1.246750000,3,19
2026-09-24,6S,FUT,6SU7,2027-09-13,,,1.260800000,3,
2026-09-24,6S,FUT,6SZ7,2027-12-13,,,1.274000000,3,2
2026-09-24,6S,FUT,6SH8,2028-03-13,,,1.287300000,3,
2026-09-24,6S,FUT,6SM8,2028-06-16,,,1.301500000,3,2
2026-09-24,6S,FUT,6SU8,2028-09-18,,,1.315800000,3,
2026-09-24,6S,FUT,6SZ8,2028-12-18,,,1.328200000,3,
2026-09-24,6S,FUT,6SH9,2029-03-19,,,1.340600000,3,
2026-09-24,6S,FUT,6SM9,2029-06-15,,,1.352800000,3,
2026-09-24,6S,FUT,6SU9,2029-09-17,,,1.366100000,3,
2026-09-24,6S,FUT,6SZ9,2029-12-17,,,1.379200000,3,
2026-09-24,6S,FUT,6SH0,2030-03-18,,,1.392550000,3,
2026-09-24,6S,FUT,6SM0,2030-06-17,,,1.406200000,3,
2026-09-24,6S,FUT,6SU0,2030-09-16,,,1.420100000,3,
2026-09-24,6S,FUT,6SZ0,2030-12-16,,,1.434250000,3,
2026-09-24,6S,FUT,6SH1,2031-03-17,,,1.448700000,3,
2026-09-24,6S,FUT,6SM1,2031-06-16,,,1.463450000,3,
2026-09-24,6S,FUT,6SU1,2031-09-15,,,1.478500000,3,
